id,question,A,B,C,D,answer
12,客户尽职调查方式包括（）,初次识别,持续识别,重新识别,加强型尽职调查,ABCD
13,代理农村义务教育中央专项资金支付业务的适用对象包括：中央专项资金预算文件列明的（）,省级财政部门,相应的县级财政部门,市级财政部门,市政府,AB
14,普惠金融条线零售信用评分卡包括（）。,申请评分卡,行为评分卡,催收评分卡,以上都不是,AB
15,当债务人发生（  ）情形时，保证人按保证担保合同约定承担连带责任。,不履行到期债务,发生合同约定情形,不履行到期债务和发生合同约定的情形时,不履行到期债务或者发生合同约定的情形时,D
16,商业银行的市场营销呈现出的发展趋势包括（ ）。,由“银行本位” 向“客户本位” 发展,从“等客上门” 向“主动访客” 发展,从“大众营销” 向“差异营销” 发展,从“单一渠道” 向“多元渠道” 发展,ABCD
17,我行在企业资产证券化中可以承担的角色包括______。,项目安排人/财务顾问,计划管理人,监管银行,托管银行,ACD
18,事业法人账户监管贷款的适用对象包括（ ）。,所有的教育类客户,二级甲等及以上医院,省级及以上的出版社,大型国有企业下属科研单位,BCD
19,商业银行对公业务产品的价格构成主要包括（）,利率,手续费,承诺费,隐含价格,ABCD
20,贷款人与借款人应当在合同中约定，借款人发生（）重大事项前需征得贷款人同意。,对外投资,实质性增加债务融资,进行合并、分立、股权转让,变更地址,ABC
21,提高主营业务净利率的途径主要包括（）,扩大主营业务收入,减少主营业务收入,降低成本费用,提高成本费用,AC
22,客户首次购买理财产品不可以通过（ ）渠道签约。,网银,柜面,手机银行,现金管理,ACD
23,单位通知存款的利率（）,高于活期存款,低于定期存款,低于活期存款,高于定期存款,AB
24,商业银行市场营销微观环境不包括（）,客户环境,经济环境,竞争环境,科学技术环境、社会文化环境和金融生态环境,AC
25,按《现场检查处理与处罚办法》规定，（  ），责令限期收回贷款，对违规责任人分别处以1000—10000元罚款，建议给予纪律处分。,越权或化整为零审批办理信贷业务,发放假冒借名贷款,跨辖区发放信用贷款,自批自贷或假用委托贷款之名发放贷款自用的,ABCD
26,以信用方式申请“专家贷”的借款人至少应满足：,信用评级AAA,近36个月不存在连续3期或累计6期的逾期还款记录,借款人及配偶无不良嗜好,如借款人为农户信用评级为“优秀”,ABCD
27,客户经理在 CMM 系统工作台可以看到以下信息：（）,管户业务情况,商机进展情况,大额产品到期提醒,大额变动提醒,ABCD
28,国际结算中，企业在办理出口佣金付款业务时需要提供的材料是（   ）。,相关佣金合同或协议,相关付汇发票,若付汇金额超过等值30000美元则需提交相关“税务证明”,该笔佣金对应的相关收汇水单或收汇凭证,ABD
29,临时存款账户是指存款人因临时需要并在规定期限内使用而开立的银行结算账户， 以下哪些情况可以开设临时存款账户（ ）。,设立临时机构,异地临时经营活动,注册验资,特定用途资金的专项管理,ABC
30,对公目标客户价值分析中，财务评价标准包含（）,企业财务结构合理性、稳定性及发展趋势,企业盈利能力、偿债能力和发展趋势,企业偿还债务的能力，包括偿债资金的来源、数量和可靠性等,过去几年对短期负债、长期负债的偿付情况,ABCD
31,个人一手自用车贷款汽车经销商的准入条件包括（   ）。,具有法人资格和合法的汽车销售和代理资格；,具有良好的信誉和经营业绩及资金实力，在当地从事汽车销售业务满一年（含）以上；,有固定的经营场所，有一定的汽车市场销售网络，销售的汽车质量有保障，产品在当地汽车市场有一定的占有率；,具有良好的信誉和经营业绩及资金实力，在当地从事汽车销售业务满三年（含）以上；,ABC
32,制定的授信方案至少应包括（ ） 等内容。,授信对象,授信额度及分配方案,有效期和用途,担保条款,ABCD
33,日常贷后检查时，对抵（质）押品检查主要包括（）。,抵押品存放地是否变化，成新率如何、有无毁损现象或存在损毁隐患,抵押品所有权人是否发生变化,办理保险的抵押品是否在保险有效期内,抵（质）押品市场价值变化情况,ABCD
34,请列举开发商申请期房项目按揭的，需提供哪些证件资料?,建设用地规划许可证；,土地使用权证及土地出让金缴交凭证；,建设工程规划许可证；,建筑工程施工许可证；,ABCD
35,县级农合机构提前赎回票据的，计算应收回的利息的依据是什么？,票面金额,双方约定的赎回利率,剩余计息期间,票据到期日,ABC
36,信贷业务担保方式分为（）,保证担保,抵押担保,质押担保,信用方式,ABC
37,农业银行不得办理的融资性保函是（）,为未经批准并依法注册登记的客户提供担保,为融资用于注册资本金的客户提供担保,为融资清偿债务的客户提供担保,为违反国家法律、法规的经济行为提供担保,ABD
38,个人一手商用车和工程车辆贷款用途包括（  ）。,营运客运车,家用汽车,货运车,工程机械车,ACD
39,针对借款人经营、管理、财务及资金流向等重大预警信号，贷款人可根据合同约定采取的措施有（）。,加强关注,提前收贷,追加担保,提起诉讼,BC
40,传统的理财学中的广义理财概念是指经济社会中各类主体，包括（）为了实现各自的特定目标而开展的财产资源分配活动。,政府,企业,家庭,个人,ABCD
41,下列属于县级农合机构向中国人民银行申请再贴现业务需提供资料的是？,再贴现申请报告,再贴现申请一览表,征信报告,再贴现凭证,ABD
42,农业银行的核心价值观是指导全行员工的（）,基本准则,基本规范,价值导向,价值标准,AC
43,（）情况下须发起信贷重检。,循环贷业务授信期每满一年,授信批准后超过6个月申请首次用款(不含自助贷款方式）,专职审批人要求进行信贷重检的,以上答案均正确,ABCD
44,以下哪些抵（ 质） 押品可以采用内部评估方式进行价值评估（ ）。,金融质押品,仓单、 提单,出口退税账户,承包经营权、 海域使用权、 森林资源,ABC
45,桂盛信用卡是由广西农合机构向社会公众公开发行的，给予持卡人一定信用额度，持卡人可在信用额度内先用款后还款，具有（  ）等功能，可在境内和境外使用、以人民币进行结算的信用支付工具。,消费,分期付款,转账结算,存取现金（单位卡除外）,ABCD
46,以下哪些情形应该采用外部评估方式进行价值评估（ ）。,司法或仲裁机关要求必须采用外部评估的,拟接收押品实施以资抵债的,银监会要求采用外部评估的,承包经营权、 海域使用权、 森林资源,AB
47,对公客户首次购买理财产品时应持以下哪些资料证件:（）,《理财业务授权委托书》(加盖公章并经法定代表人签字或签章),企业法人身份证原件及复印件,预留印鉴,经办人有效身份证件原件及复印件,ABCD
48,借款人申请个人综合消费贷款，农合机构可接受质押的权利凭证限于：,同城未到期的本外币定期储蓄存单（不含单位定期存单）,凭证式国债（不含记账式国债）,非本法人农合机构发行的股金,动产质押,ABC
49,适合以定制方式营销对公理财产品的客户包括（）,小微企业,大型客户,集团客户,行业龙头企业,BCD
50,电子保理业务核心特点包括（）。,卖方（融资申请人）登录第三方平台，在线申请办理电子保理业务，我行经审核后，在线发放贷款。,卖方（融资申请人）也可在线发起结算账户主动还款，此时回款专户中相应金额退回卖方结算账户。,应收账款回购是指买方在应收账款到期日及宽限期内不付款时（不论何种原因），卖方承担应收账款回购的责任。,在授信期限内额度可循环使用的小微企业网络贷。,ABCD
51,个体工商户贷款单笔期限1年（含）以内的，可以采取(  )还款和结息方式。,按月结息、到期还本,按季结息、到期还本,按半年结息、到期还本,利随本清,ABD
52,单位外汇通知存款是指境内单位、驻华机构在存入时（约定支取日期和金额才能支取的一种外汇存款。,约定存期,不约定存期,支取时需提前,支取时无需提前,BC
53,按照“ 互联网化、 数据化、 智能化、 开放化” 的思路， 坚持以客户为中心，以金融科技和业务创新为驱动， 推进（ ） 风控、 决策等全面数字化转型和线上线下一体化深度融合。,产品,营销,渠道,运营,ABCD
54,我行不接受以下（）财产抵押,闲置超过2年以上的建设用地使用权。,国家机关财产或国家所有的市政设施,租赁合同到期日距授信申请日期超过三年以上、且租金已付的已出租房地产,所有权、使用权不明或有争议的财产,ABCD
55,根据《民法典》第405条关于抵押财产的租赁问题的规定，下列说法正确的是：,抵押权设立前，抵押财产已经出租但未转移占有的，该租赁关系不得对抗已登记的抵押权,可以阻却相当部分的虚假租赁,可以降低银行尽职调查难度,可以排除虚构租赁逃废债的行为,ABC
56,风险对冲对管理对公业务市场风险非常有效，可以分为(,主动对冲,被动对冲,自我对冲,市场对冲,CD
57,对公理财业务面临的风险主要有（）,信用风险,市场风险,流动性风险,操作风险,ABCD
58,集团客户是指由两个或多个在我行已发生或拟发生各类投融资业务的企事业法人组成的、相互间由股权控制或其他控制关系连接起来的客户群体，包括以下几种情况（）,在股权上或者经营决策上直接或间接控制其他企事业法人或被其他企事业法人控制的,共同被第三方企事业法人所控制的,主要投资者个人、关键管理人员或与其关系密切的家庭成员（包括三代以内直系亲属关系和二代以内旁系亲属关系）共同直接控制或间接控制的,存在其他关联关系，可能不按公允价格原则转移资产和利润的,ABCD
59,银监会关于小企业贷款业务指导意见中六项机制包括（）。,利率的风险定价机制,高效的贷款审批机制,激励约束机制,违约信息通报机制,ABCD
60,对公理财产品的风险识别包括哪些环节？ （ ）,感知风险,消除风险,分析风险,控制风险,AC
61,对于集团客户， 票据池产品中的票据管理模式不可选择（ ） 管理模式。,集中,单一,分散,统一,BC
62,根据农业银行三级核心客户的规定，无资产业务的公司类核心客户准入基本标准表述正确的是（）,上一年度在我行日均存款余额超过 5 亿元人民币的可以列为总行级核心,上一年度在我行日均存款超过 1 亿元人民币的可以列为一级分行级核心,上一年度在我行日均存款超过 5000 万元人民币的可以列为二级分行级核心客户,上一年度在我行日均存款超过 1000 万元人民币的可以列为支行级核心客,ABC
63,客户身份识别和尽职调查工作的基本原则包括_____。,勤勉尽责,风险为本,详细登记,及时报告,ABCD
64,我行统计工作遵循的原则包括（）。,客观性,科学性,统一性,及时性,ABCD
65,可以认定为固定资产项目资本金的有（）,项目融资条件下项目法人的所有者权益,一般固定资产贷款条件下项目法人投入项目的非负债性资金,各级政府的财政预算内资金、国家批准的各种专项建设基金、地方政府按规定收取的各种规费及其他预算外资金,通过银行发行理财产品筹集的资金,ABC
66,农业银行的竞争优势包括（）,网点网络优势,客户资金优势,横跨城乡优势,技术平台优势,ABCD
67,项目贷款用途通常是用于(  )的再融资。,建造一个或一组大型生产装置,基础设施,房地产项目或其他项目,在建或已建项目,ABCD
68,下列哪些财产农业银行不可以接受作为抵押资产（）,土地所有权,学校办公楼,医院的住院部大楼,耕地的土地使用权,ABCD
69,增强企业短期偿债能力的因素包括（）,企业偿债能力的声誉较好,企业存有可动用的银行授信额度,企业拥有可以很快变现的长期资产,企业对关联企业提供了新的保证担保,ABC
70,县级农合机构理事长（董事长）为贷款五级分类工作的第一责任人，其责任要分解落实到有关部门和有关责任人，做到（  ）落实、（  ）落实、（  ）落实。,责任,人员,任务,措施,BCD
71,简式贷可使用的用信方式有（）,贸易融资,票据承兑,贴现,信用证,ABCD
72,客户分类结果为（）的客户，日常贷后检查流程为：客户经理→客户经理主管。,发展类,巩固类,调整类,淘汰类,AB
73,货币型理财产品是投资于货币市场的银行理财产品，其主要投资于信用级别较高、流动性较好的金融工具，包括（ ）。,国债,金融债,中央银行票据,债券回购,ABCD
74,简式贷可接受的担保方式有（）,抵押,质押,保证担保,信用方式,ABC
75,应采用贷款人受托支付方式实行贷款资金支付的是（）,单笔金额超过项目总投资 3%,单笔金额超过项目总投资 5%且超过 50 万元（含）,单笔金额超过 300 万元人民币,单笔金额超过 500 万元人民币,BD
76,董事会应承担大额风险暴露管理最终责任，以下属于其职责的有（      ）。,审批大额风险暴露管理制度,推动大额风险暴露管理相关信息系统建设,审阅相关报告，掌握大额风险暴露变动及管理情况；,审批大额风险暴露信息披露内容。,ACD
77,应收账款质押信贷业务未清偿前出现下列情况的，农村合作金融机构应宣布信贷业务提前到期，并要求借款人立即清偿信贷业务本息，或追加合法、有效、足值的担保：,出质人擅自转让、恶意减免出质应收账款,应收账款债务人出现生产经营困难等其他不利情况，影响应收账款到期支付,借款人在农村合作金融机构信贷业务出现逾期、欠息、垫款等不良行为,应收账款债务人变更公司注册资本,ABC
78,按《新增不良贷款责任认定及处罚办法》规定，新发放不良率超过管控要求的责任领导在岗清收期间，不得（  ）。,参与管理,提拔,调增工资,评先评优,BCD
79,商业银行对公业务产品与商业银行个人业务产品相比，具有以下特点,产品的单笔交易量大和交易频率相对较低,目标客户数量相对较少,产品的标准化程度更高,产品具有系统性,ABD
80,影响应收账款周转速度的主要因素包括（）,年销售收入,年初应收账款余额,年中应收账款余额,年末应收账款余额,BD
81,农业银行征信管理系统的主要功能包括（）,自动报送征信数据,客户征信异议处理,查询人民银行征信系统信用报告,征信数据质量监测与管理,BCD
82,我行的信托计划保管业务，按照委托人数量不同可分为（）,远期,期货,掉期（互换）,期权,AB
83,流动资金贷款申请应具备的条件是（）。,借款用途明确、合法,借款人生产经营合法、合规,借款人具有持续经营能力，有合法的还款来源,借款人信用状况良好，无重大不良信用记录,ABCD
84,国内支付结算业务是指农业银行为国内单位客户和个人客户进行货币支付及资金清算提供的服务， 包括的结算方式有________。,票据,汇款,信用卡,信用证,ABCD
85,单位结算卡附加安全认证方式为（）,电子支付密码,key 宝,手机安全认证码,语音,BCD
86,2017 年初， 总行制定了《 中国农业银行“ 十三五” 时期“ 三农” 和县域业务发展规划（ 2016-2020 年）》， 主要（ ）,阐明 2016-2020 年全行“ 三农” 和县域业务发展的总体思路,阐明 2016-2020 年全行“ 三农” 和县域业务发展的主要目标,明确 2016-2020 年全行“ 三农” 和县域业务发展的工作方向,明确 2016-2020 年全行“ 三农” 和县域业务发展的着力点,ABCD
87,按《员工违法违规行为处理办法》规定，各级负责人有下列行为之一的，按照有关责任人员的处罚档次从重或加重处理：,直接实施违法违规行为的；,决策或指使、授意、强迫下属员工实施违法违规行为的；,对关系人申请的贷款业务，未申请回避,在职责范围内明知下属员工实施违法违规行为而不予制止的。,ABD
88,客户申请办理出口商票融资业务，需提供的材料有（）,出口商票融资申请书,出口贸易合同,带有指定汇路的正本商业发票,正本报关单或正本提单,ABCD
89,《广西农村合作金融机构内部员工贷款管理办法》所称的内部员工包括：,在编在岗员工,内退员工,临时用工,劳务派遣,ABCD
90,工商物业贷包括的子产品有（）,工商物业置业贷,工商物业经营贷,工商物业租金贷,简式贷,ABC
91,根据《广西农村合作金融机构信贷资产转让管理暂行办法》规定，信贷资产转让风险评价应包括但不限于以下内容：,主体资格合法性及资料完整性评价,风险及效益评价,担保评价,利率定价的合理性评价,ABCD
92,下列关于内部评级调查的说法，正确的是（）,内部评级业务开展前，客户部门应进行现场调查,内部评级调查可与信贷调查、贷后管理等工作一并开展,尽职调查掌握的信息资料越少、可靠性越低，内部评级应越审慎,客户评级调查人员可采取核查客户财务报表、收集客户非财务资料、查阅公开信息、现场访谈等多种方式进行调查答案：BCD,BCD
93,商业银行对公业务面临的风险有(,信用风险,市场风险,操作风险,法律风险,ABC
94,托管业务的基本服务内容包括（）,资产保管,核算估值,资金清算,证券借贷,ABC
95,个人综合消费贷款的用途包括(   )。,住房装修,耐用消费品、旅游、医疗、教育支出,生产经营类支出,外汇买卖和委托理财等金融性投资,AB
96,按《新增不良贷款责任认定及处罚办法》规定，新发放贷款的责任对象包括：,新增不良贷款责任人,新增不良贷款责任机构,新增不良贷款责任领导,新增不良贷款经手人,ABC
97,“专家贷”面向的客群主要是：,高级专业技术资格获得者,中级专业技术资格获得者,国家法律法规或政府部门出具有关文件明确可等同于对应专业技术资格级别的职业资格获得者,八桂学者,ABC
98,贷款人应根据（）原则，建立规范的流动资金贷款评审制度和流程。,贷审分离,贷审合并,分级审查,分级审批,AD
99,围绕打造国际一流大型商业银行的发展战略，我行制定“百城强行”发展战略，力争通过三年的发展， 100 家分行打造成区域强行。将其主要原则是（）,争先进位，比学赶超,完善机制，分类指导,坚持创新，深化转型,着眼长远，稳健发展,ABCD
