id,question,A,B,C,D,answer
74,增值税的计税方法，包括（      ）和（      ）。,一般计税,简易计税,一般纳税,小规模纳税,AB
75,委托收款是收款人委托银行向付款人收取款项的结算方式，应遵循（    ）基本规定。,无起点金额限制,无地域限制,无限定使用对象,收款人办理委托收款应向农商行提交托收凭证和有关债务证明,ABCD
76,支票影像交换业务处理遵循(   )的原则。,先付后收,收妥抵用,全额清算,银行不垫款,ABCD
77,办理收款业务清点现金时须进行（  ）。,清点现金细数,挑残,识别真伪,合计金额与缴款凭证所填写金额核对,ABCD
78,客户需新增自动还款档案的，应提供的证件及资料包括（ ）。,有效身份证件,丰收贷记卡,丰收借记卡,《信用卡相关服务申请书》,ABCD
79,办理第三方存管银行签约业务必须审核的内容包括：（ ）,第三方存管客户协议,证券资金卡和证券账户卡,客户本人有效身份证件,第三方存管开通申请表。,ABCD
80,根据《中国人民银行关于规范代收业务的通知》（银发〔2020〕248号），付款人授权与付款人开户机构管理要求有：（ ）。,付款人开户机构应当根据付款人授权及本机构风险策略等设置代收业务风险防控措施。对与付款人以非面对面方式建立授权关系的，应当设置更高级别风险防控措施。,付款人开户机构应当在风险可控前提下，采取便利化方式与付款人建立、变更或者终止授权关系，并及时告知付款人授权状态。可以采取的方式包括但不限于通过柜面、自助机具、网络、电话、短信等。,付款人开户机构应当在交易过程中对授权事项进行逐笔验证。未建立代收业务授权关系或者与授权事项不符的，付款人开户机构应当拒绝办理相关业务，并向付款人提示风险。,付款人开户机构应当按照合法、正当、必要的原则处理（包括收集、存储、使用、加工、传输、提供、公开等）代收业务所需信息，并采取必要措施确保信息安全，防止信息泄露、被篡改或丢失。,ABCD
81,员工资料的标志有（）等。,柜员标志,库管员标志,现金业务类标志,凭证标志,ABC
82,以下（ ）需按季或年填发“余额对账单”与客户对账。,所有支票存款账户,自然人大额（大额标准由联社、合作银行发文确定）贷款账户,所有单位贷款账户,所有单位存款账户,BC
83,农村合作金融机构内部控制主要作用（ ）。,能够保证国家法律、法规及政策的贯彻落实与执行,能够确保企业经营管理活动的协调、有序进行，提高企业的经济效益,能够保证企业财产及相关记录的安全与完整，提高企业财务会计和其他经营管理信息的正确性与可靠性,有利于激励员工工作的积极性，提高农村合作金融机构的工作效率,ABCD
84,下列各项中，应按“利息、股息、红利所得”项目征收个人所得税的有（）。,法人企业为其股东购买小汽车将汽车办理在股东名下,个人取得的国债转让所得,个人独资企业业主用企业资金进行个人消费部分,职工因拥有股票期权且在行权后取得企业税后利润分配收益,AD
85,制定内部转移价格的主要作用包括（    ）。,有助于目前划分经济责任,有助于业绩考核,有组预提高生产积极性,有助于制定正确的经营决策,ABCD
86,代理国库集中支付业务的特点:（ ）,银行垫资，日终清算,多方合作，统一指令,多个模块，连贯操作,统一接口，便于管理,ABCD
87,下列说法中，符合企业所得税相关规定的有（）。,提供社区家政服务取得收入在计算应纳税所得额时减按90%计入收入总额,疫情防控重点保障物资生产企业新购置的设备允许一次性计入当期成本费用在企业所得税税前扣除,有限合伙制创业投资企业采取股权投资方式直接投资于初创科技型企业满2年的，该合伙创投企业的合伙人是法人合伙人的可以按照对初创科技型企业投资额的70%抵扣法人合伙人从合伙创投企业分得的所得；当年不足抵扣的，可以在以5个后纳税年度结转抵扣,符合条件的从事污染防治的第三方企业减按15%的税率征收企业所得税,AD
88,会计柜员对客户提交的一户通收款协议书应主要审查下列内容：（ ）,计量对象户名是否与付款人账户户名完全一致。,付款人是否在本行开立结算账户。,协议书是否经收款人和付款人签章。,收款人收费种类是否获人行批准可采用一户通委托收款方式。,BCD
89,《中国人民银行 工商总局关于“三证合一”登记制度改革有关支付结算业务管理事项的通知》中，银行对单位银行结算账户的年检中采取以下方式（）,留存账户年检的纸质资料,留存账户年检的电子记录,加盖账户年检专用章,现场核实,AB
90,根据《法人金融机构洗钱和恐怖融资风险管理指引（试行）》（银反洗发[2018]19号）规定，业务部门承担洗钱风险的直接责任，建立相应的工作机制，将洗钱风险管理要求嵌入哪些操作中？,产品研发,具体操作,流程设计,业务管理,ABCD
91,个人通知存款按存款人提前通知的期限长短划分为（ ）两个品种。,一天,五天,一个月,七天,AD
92,农村合作金融机构必须加强内部账管理，定期不定期的进行内部账核查工作，以下说法正确的是（ ）,内部账不得有透支余额,内部账交易业务必须作为事后监督的重点内容,内部账核查每季至少一次,内部账应按规定挂账并及时清理,ABD
93,单位存款人有下列情形之一的，可以在异地开立有关银行结算账户。（）,营业执照注册地与经营地不在同一行政区域（跨省、市、县）需要开立基本存款账户的。,办理异地借款和其他结算需要开立一般存款账户的。,存款人因附属的非独立核算单位或派出机构发生的收入汇缴或业务支出需要开立专用存款账户的。,异地临时经营活动需要开立临时存款账户的,ABCD
94,对账可通过（ ）等方式发放余额对账单进行对账。也可通过网上银行进行对账，必要时应进行上门对账。,邮寄,回单箱,上门送达,临柜人员柜台对账,ABC
95,以下属于会计检查准备阶段的是（ ）。,确定检查项目,制订检查方案,成立检查小组,发出检查通知,ABCD
96,法人机构上解的现金必须做到（  ）。,整点符合质量要求,捆扎牢固,名章清晰,封签内容完整齐全、粘贴牢固,ABCD
97,柜员因故未能及时正常签退出系统，应及时查明原因，并且（ ）。,必须由该清算中心柜员办理强制签退,强制签退应双人办理,由该机构其他柜员办理强制签退,须经原柜员事后确认,BCD
98,会计档案按照期限可分为（）。,永久保管,定期保管,不定期保管,随意保管,AB
99,营业机构为个人客户办理储蓄存单存入业务时，对于单笔金额人民币1万元（不含）以下的，应（）。,核对账户所有人有效身份证件,核对代理人有效身份证件,留存客户出示证件的复印件或影印件,留存业务办理场景照,AC
