id,question,A,B,C,D,answer
18,保险事故发生后，投保人、被保险人或者受益人以伪造、变造的有关证明、资料或者其他证据，编造虚假的事故原因或者夸大损失程度的，保险人对其虚报的部分（）赔偿或者给付保险金的责任。,不承担,协商承担,承担,部分承担,A
19,在赊销信用保险业务中，投保人一般是（   ）,监管方,付款方,使用方,制造商,D
20,在万能保险的死亡给付模式的均衡给付方案中，始终保持不变的项目是（   ）。,死亡给付额,保单准备金,净风险保额,现金价值,C
21,保证条款是最大诚信原则在保险合同中的体现，各国保险法界公认，如果投保人违反了保证条款，保险公司可以（  ）。,解除合同，承担全部赔偿责任,重新签订合同,解除合同，承担部分赔偿责任,解除合同，不负赔偿责任,D
22,保险活动当事人行使权利、履行义务应当遵循（）。,完全自愿原则,高效快速原则,诚实信用原则,安全性原则,C
23,在财产保险的承保中，如果保险标的低于承保标准，但又并非不可保时，保险人通常选择的承保方式是（   ）。,规定较高的免赔额,拒保,正常承保,优惠承保,A
24,社会保险与商业保险的共同点之一是（   ）,均以个人公平为原则,均以保险合同为依据,均以社会再生产人的要素为对象,均以社会安定为目标,C
25,关于价值账户描述错误的是?,当账户价值小于保险金额时风险保额=保险金额-保单账户价值。,当账户价值大于保险金额时，风险保额=账户价值*5%的数值。,万能险还有单独的账户，交进去的保费扣除掉初始费用后，都会进入这个账户，这就是账户价值。,账户价值每年结一次利息。,D
26,下列关于产品责任险的陈述错误的是（）。,赔偿限额由保险公司规定,产品责任保险单通常规定两项限额,产品责任险承保的不是有固定价值的标的,保单均无保险金额而仅有赔偿限额,A
27,在保险发展的历史上，海上保险的雏形是（   ）。,船舶抵押借款制度,基尔特制度,“黑瑞甫”制度,公典制度,A
28,医疗费用保险可以补偿的医疗费用主要包括门诊费用、药费、住院费用、（）、医院杂费和各种检查治疗费用。,营养费,伙食费,交通费,手术费用,D
29,人身保险合同没有（    ）概念。,保险金额,保险利益,保险价值,保险期限,C
30,如按照承担风险责任分类，农作物雹灾保险合问属干,单一风险合同,定值保险合同,一切险合同,综合风险合同,A
31,守信也是一种做人的品质，就是讲信用、讲信誉，信守承诺，忠实于自己承担的义务，答应了别人的事一定要去做，其中“信”字也是（ ）的意思。,大公无私,诚实不欺,不成不信,廉洁奉公,B
32,保险公估人是指接受委托，专门从事（ ）的评估、勘验、鉴定、估损理算等业务，并按约定收取报酬的机构。,被保险人,受益人,保险标的或者保险事故,投保人,C
33,关于销售专区的使用方面，下列说法正确的是（  ）,销售专区只能办双录业务，不能对外办理其他业务。,销售专区可以办理双录业务，也可以对外办理其他业务。,销售专区只能办理理财及代销产品销售业务，不能对外办理其他业务,销售专区可以办理理财及代销产品销售业务，也可以对外办理其他业务。,C
34,（    ）一般采取统保的方式，即要求出口商承诺投保其保险适用范围内的全部出口业务。,长期出口信用保险,足额出口信用保险,短期出口信用保险,中长期出口信用保险,C
35,《保险法》对保险销售人员的销售行为有明确规定，保险公司及其工作人员在保险业务活动中不得有下列行为（  ）。 ①代替投保人签订保险合同②泄露在保险销售中知悉的保险人、投保人、被保险人的商业秘密及个人隐私③伪造、擅自变更保险合同，或者为保险合同当事人提供虚假证明材料④委托未取得合法资格的机构从事保险销售,②③④,①②③④,①②,①④,B
36,在我国，允许财险公司和寿险公司同时经营的险种是（   ）。,两全保险,火灾保险,生存保险,短期健康保险,D
37,除《中华人民共和国保险法》另有规定和约定外，保险合同成立后，有权随时解除保险合同的主体是（   ）,投保人,受益人,保险人,被保险人,A
38,机动车第三者责任险的免赔额，保险人在依据保险合同约定计算赔款的基础上，在保险单载明的责任限额内，按照下列方式承担免赔： （1）被保险机动车一方负次要事故责任的，实行（  ）的事故责任免赔率； 负同等事故责任的，实行（  ）的事故责任免赔率； 负主要事故责任的，实行（  ）的事故责任免赔率； 负全部事故责任的，实行（  ）的事故责任免赔率。 （2）违反安全装载规定的，实行10%的绝对免赔率。,10%，15%，20%，25%,10%， 20%， 30%，40%,"15%，20%，25%,30%",5%，10%，15%,D
39,"与般合同相比,投保人作为保险合同的当事人之一,应具备的特殊条件是( )。",对保险标的必须具有保险利益,负有缴纳保险费的义务,具有完全的权利能力,具有完全的行为能力,A
40,（ ）是接人待物中约定俗成的示人以友善和尊重的做法，其核心内容就是表达对对方的尊敬。,仪表,仪容,文明,礼仪,D
41,关于保险市场的说法错误的是（   ）,保险市场客体指的是保险市场需求双方具体交易的保险产品。,保险市场主体指的是保险市场交易活动的买卖双方和中介等参与的统称。,保险密度是指在某时间段内，某一国家（或地区）保险业全部保费收入与该国家（或地区）人口的比值。,保险深度指的是某时间段内，某一国家（或地区）保险业全部保费收入在该国（或地区）国人口中所占有的百分比。,D
42,在人身保险中，与人有关的“生、老、病、死、残”通常称为（   ）,保险责任,保险对象,保险标的,保险事故,A
43,某保险产品保障的年龄范围为16-60岁，被保险人真实年龄为40岁，投保人在申报年龄时，误将被保险人年龄申报为50岁，依照该保险产品的费率，40岁人的费率要低于50岁人的费率，根据年龄错误条款，保险人该如何处理（  ）。,保险人可向投保人收取应交保费与实交保费的差额,保险人将多收的保险费退还给投保人,保险人可以解除保险合同,保险人应依照应交保费与实交保费的比例赔付,B
44,人身保险不包括（       ）,保证保险,年金保险,人寿保险,健康保险,A
45,核保是保险公司现金流“流入”大动脉的关口，那么，（ ）就是保险公司现金流“流出”大动脉的出口。,理赔,宣传,投保,签单,A
46,理论上而言，下列情况属于意外伤害保险中“意外伤害”范畴的是（  ）。,乘坐飞机时坠机身亡,长期吸入大量有毒气体终致身体残疾,高血压发作晕倒受伤,战争,A
47,现代人寿保险制度建立的标志是（    ）。,生命表被大众所接受,人寿保险制度文件的出台,第一家人寿保险公司的创立,生命表运用于计算人寿保险费,D
48,关于销售专区的流程管理，以下正确的是（  ）,严禁在销售专区以外的区域开展相关产品营销活动,以上说法都正确,将具有理财和代销产品购买意愿的客户引导至专区,由专区销售人员进行营销推介,B
49,在财产保险合同中，保险金额（）超过保险价值。超过保险价值的，超过部分（ ）。,可以、效力待定,可以、有效,不得、无效,不得、效力待定,C
50,在家庭财产保险中，一被保险人的房屋因电线老化发生了火灾，在抢救过程中有人趁乱偷走了被保险人家中的珠宝。造成被保险人珠宝丢失的近因是（   ）。,被保险人的疏忽,造成火灾原因的电线老化,火灾,偷窃,A
51,基于投保人的利益，为投保人与保险人订立保险合同提供中介服务，并依法收取佣金的机构，被称为,保险公估人,保险营业员,保险代理人,保险经纪人,D
52,比例给付条款是医疗保险的常用条款之一，比例给付条款的基本作用是（   ）,保障保险人的经济利益、强化被保险人对医疗费用的控制,保障保险人的经济利益、强化保险人对医疗费用的控制,保障被保险人的经济利益、强化保险人对医疗费用的控制,保障被保险人的经济利益、强化被保险人对医疗费用的控制,C
53,出口信用保险中使用最广泛，承保量最大，而且比较规范的险种是（   ）。,建筑工程承包出口信用保险,劳务输出出口信用保险,短期出口信用保险,中长期出口信用保险,C
54,与其他责任保险相比，职业责任保险的赔偿限额规定有所不同，通常职业责任（   ）。,事故赔偿责任限额,累计赔偿责任限额,比例赔偿责任限额,期间赔偿责任限额,B
55,保险行业自律组织制定的规范从业人员行为的规则对保险代理从业人员的行为所起的作用是（   ）,无限约束作用,短暂约束作用,间接约束作用,直接约束作用,D
56,客户开拓是用一种系统的方法来决定该跟谁接触，寻找符合条件并可能购买产品的销售对象，即准客户。为了提高保单销售的成功率，准客户的选择至关重要。以下属于准客户具备的一般条件的是（  ）。①可保体②购买欲③经济能力④决定权⑤亲近度,①②③④,①②③④⑤,①③④⑤,②③④⑤,B
57,以各类已安装完毕并投入运行的机器及附属设备为保险标的的财产保险称之为（     ）,企业财产保险,家庭财产保险,机器损坏保险,营业中断保险,C
58,在财产保险合同中，投保人对保险标的所享有的保险利益用货币估计的价值额叫做（   ）。,保险金额,保险利益,保险价值,保险责任,A
59,在保险实践中，之所以要强调遵循保险利益这一原则，最主要的目的是防止（）。,超额风险,管理风险,利益风险,道德风险,B
60,保险中介是接受保险公司或投保人和被保险人的委托，提供展业、风险管理、理赔等专业性服务，并收取佣金、手续费或咨询费的自然人或法人机构，以下经保险监管机构批准后可从事保险中介业务的有（   ）。 ①保险代理机构、保险经纪机构②银行、邮政、保险销售人员③保险公估机构、保险精算师事务所④证券公司、信托公司、典当行,①②④,①②③④,①②,①②③,B
61,下面属于变额年金保险的保证利益的有?,最低满期利益保证,以上都是,最低身故利益保证,最低年金给付保证,B
62,（ ）是基于投保人的利益，为投保人与保险人订立保险合同提供中介服务，并依法收取佣金的机构。,保险居间人,保险经纪人,保险代理人,保险公估人,B
63,对属于机动车交通责任强制保险的保险责任的，保险公司应当在(　　)赔偿保险金。,收到被保险人提供的证明和资料之日起5日内,收到被保险人提供的证明和资料之日起10日内,与被保险人达成赔偿保险金的协议后5曰内,与被保险人达成赔偿保险金的协议后10日内,D
64,机器损坏保险中，所有投保机器按照（    ）来确定保险金额。,市场价值,重置价值,投保财产的实际价值,账面余额,B
65,短期出口信用保险通常承保信用期在（       ）之内的短期信用贸易的收汇风险。,270天,一年,90天,180天,D
66,工程保险相比传统的财产保险，具有的特征不包括（    ）。,保险金额具有变动性,涉及的利害关系人更多,承保的风险具有广泛性,保险期限具有确定性,D
67,按照我国《保险法》的规定，保险人与被保险人或受益人达成赔偿协议或给付保险金额协议的情况下，应在达成协议后（    ）内履行赔偿或给付义务。,15日,10日,30日,20日,B
68,比例再保险是以（）为基础来确定分保责任的保险,赔付率,约定比例,保险金额,赔款金额,C
69,“仓至仓”条款适用于（       ）,货物运输保险,责任保险,火灾保险,运输工具保险,A
70,保险利益成立须有一定的条件。例如，投保人因偷税漏税行为所取得的利益不能作为其保险利益而投保。说明该投保人所具有的利益为（）。,非经济上的有价的利益,不具有利害关系的利益,不合法的利益,不确定的利益,C
71,下列关于财商的说法，哪项是错误的?,作为保险销售，学习财商可以让我们更好地帮助客户进行资产的合理配置，获得客户的认同，促进签单,学习财商的第一步是要分清资产和负债一流入口袋的是资产，流出口袋的是负债。,只有实现财务自由才需要财商思维，普通人不需要,财商，就是“金融智商”，是认识、创造和管理财富的能力,C
72,在保险经营实践中，当人们意识到带的风险和逆选择会产生不公平交易，从而损害保险的大数法则、危及保险的正常经营时，才产生了保险业最基本的原则（  ），要求当事人具有最大的诚信，用来约束保险交易双方的行为。,最大诚信原则,最大赔付原则,最大利益原则,最大保费原则,A
73,保险公估从业人员在执业活动中应当遵守以下行为规范：（  ）,禁止行为,以上都是,独立执业、专业胜任,客观公正、保守秘密,B
74,各开办网点因各种原因无法满足代理保险业务开办条件时，应立即暂停开办代理保险业务，并于（ ）个工作日内及时向总行业务管理部门报备,5,7,3,4,A
75,保险人收到被保险人或者受益人的赔偿或者给付保险金的请求后，应当及时作出核定;情形复杂的，应当在（）日内作出核定，但合同另有约定的除外。,十,三十,九十,六十,B
76,（ ）和保险人可以约定与保险有关的其他事项。,受益人,保险合同相关任一人,被保险人,投保人,D
77,( )可作为建筑工程保险的保险责任开始时间,工程开工动土之日,工程完工验收合格之日,工程交付使用当日,工程设计之日,A
78,关于双录话术的使用，以说法正确的是（  ）,营业网点销售的自有理财产品以及代销产品需要使用总行制定的话术,销售话术需要进行专夹保管,对高风险理财及一年期以上保险产品，总行制定了统一的标准话术,对高风险理财及一年期以上保险产品，合作公司制定了统一的标准话术,C
79,车险改革后，自主定价系数浮动范围是（）。,0.7-1.4,0.75-1.45,0.6-1.3,0.65-1.35,D
80,保险标的遭受保险事故引起的各种间接损失属于企业财产保险基本险的（　　）。,保险责任,附加责任,除外责任,基本责任,C
81,影响客户风险承受能力的要素之一是承受风险的意愿，主要包括 （）和投资经验。,财富规模,以上都是,风险偏好,收入,C
82,在失能收入损失保险中，被保险人永久丧失全部劳动能力，不能参加工作（原来的工作或任何新工作）以获得工资收入的残疾称为（   ）。,基本残疾,暂时残疾,期间残疾,完全残疾,D
83,除保险法另有规定或者保险合同另有约定外，保险合同成立后，（）可以解除合同，（ ）不得解除合同。,保险人、投保人,被保险人、投保人,投保人、保险人,投保人、被保险人,C
84,保险公司在接到索赔请求后，最终确认赔案是否应该赔、应该怎样赔，是由（ ）依据理赔手册决定的。,被保险人,受益人,理赔人员,投保人,C
85,人身意外伤害险中的纯费率是根据计算(    )。,死亡率,利息率,生存率,保险金额损失率,D
86,保险代理从业人员正确处理与客户之间关系的基本原则是（   ）,专业胜任原则,勤勉尽责原则,客户至上原则,效益第一原则,C
87,医疗保险中的比例给付条款是在（   ）基础上经常采用的一个条款。,免赔额,共付比例,免责期,等待期,A
88,保险合同成立后，（）按照约定交付保险费，保险人按照约定的时间开始承担保险责任。,保险人,受益人,被保险人,投保人,D
89,终身寿险是一种以被保险人（   ）而由保险人负责给付保险金的保险。,在保险合同规定期限届满后或规定期间死亡,不论在什么时候死亡,在保险合同规定期间死亡,在保险合同规定期限届满后死亡,B
90,在各类保险中，起源最早、历史最长的保险是（   ）,火灾保险,海上保险,人身保险,房屋保险,B
91,职业责任保险一般是以(   )为索赔基础的：,被保险人提出索赔发生在保险期限内,受害人提出索赔发生在保险期限内,被保险人过失发生在保险期限内,保险事故发生在保险期限内,A
92,在人身意外伤害保险中，未来可能领取保险金的人包括（    ）。,投保人或受益人,投保人或代理人,被保险人或受益人,被保险人或投保人,C
93,依业务承保方式划分，保险可分为（   ）,再保险，原保险共同保险,重复保险，再保险，原保险共同保险,原保险，再保险,重复保险，再保险，原保险,B
94,风险不能使大多数的保险对象同时遭受损失是可保风险的前提条件之一，这一条件要求损失的发生具有（    ）。,同质性,规律性,分散性,集中性,C
95,在人寿保险定价中，按照各年龄死亡率计算而得的逐年更新的保费为（   ）,自然保费,主观保费,均衡保费,客观保费,A
96,在财产保险中，保险人（ ）对每份保单都进行责任准备金的计算和提取。,全部,部分,不需要,必须,C
97,告知义务是保险合同订立时需要履行的重要义务，根据我国《保险法》的规定，告知义务的履行主体是（  ）。,受益人,保险人,投保人,被保险人,C
98,在合同存续期间，由于某种原因的发生而使保险合同的效力暂时失效，这种效力状态被称为（   ）,保险合同效力待订,保险合同失效,保险合同中止,保险合同终止,C
99,保险是指（   ）根据合同约定，向保险人支付保险费，保险人对于合同约定的可能发生的事故因其发生所造成的财产损失承担赔偿保险金责任，或者当（   ）死亡、伤残、疾病或者达到合同约定的年龄、期限等条件时承担给付保险金责任的商业保险行为。,被保险人、保险人人,被保险人、投保人,投保人、投保人,投保人、被保险人,D
