id,question,A,B,C,D,answer
18,会计的核心问题是【】。,会计主体,登记账簿,记录方法,会计计量,D
19,农业银行依托全行统一的账户管理和支付结算体系，基于多层级的安全认证方式，为客户提供扫码、APP调用、H5页面、支付SDK、权益支付等多种支付服务的网络支付品牌是？,农银快e宝,农银快e付,农银快e贷,掌上银行,B
20,网络金融部于____将线上营销项目计划报财务会计部审核后，提交总行财务审查委员会审议。,年初,每季度,年中,年终,A
21,国家通过各种形式，从国民经济收支环流中截取并运用的资金占国民经济总量的比重称为【】。,宏观税负,税收负担,国债负担率,债务依存度,A
22,下列各项中，已经形成企业负债的是【】。,企业的银行贷款,企业签订的期货合同,企业购买的固定资产,企业发生的销售费用,A
23,调整围绕社会物质财富的生产、交换、分配和消费过程所进行的各种经济关系的法律规范的总体是【】。,经济法,调整经济的法,民商法,行政法,B
24,当产品原型页面在视觉感受、操作流程或者页面布局上引起较大争议时，应当,严格按照业务需求,邀请目标客户测试,考虑研发实施难度,听从领导意见,B
25,我国资产负债表采用的编制格式是【】。,报告式,单步式,多步式,账户式,D
26,时间序列在较长一段时间内呈现的麟上升或持续下降的变动，称之为【】。,长期趋势,季节变动,循环波动,不规则波动,A
27,关于抽样调查的说法，正确的是【】。,抽样调查中不存在误差,抽样调查用样本数据推断总体数量特征,抽样调查时效差,抽样调查通常从总体中选择重点单位进行调查,B
28,____负责项目的合规风险管理，严格落实监管部门有关金融营销宣传的规范要求，做好营销活动信息的告知、警示和免责声明，不得损害消费者知情权，不得干扰其自主选择，严格审核营销宣传信息,网络金融部,法律事务部,线上营销项目审查委员会,营销项目实施团队,D
29,以下不属于个人e贷的贷款产品是,网捷贷,助业贷,抵押e贷（企业）,质押贷,C
30,如商户拒绝配合处理，或因处理不当导致大量客户投诉的，兴农商城有权按照本规则第十八条违规处理中（）对商户进行处理。,轻微违规处理,一般违规处理,严重违规行为,特别严重违规处理,C
31,企业在对某一经济业务进行会计核算过程中，应根据交易或事项的重要程度采用不同的核算方式。判断交易或事项重要程度的主要标准是【】。,决策层次,决策者的喜好,变现速度,对决策者利益的关联度和金额占总业务量的比重,D
32,下列不属于所有者权益的来源是【】。,所有者投入的资本,直接计入所有者权益的利得和损失,留存收益,出售资产所得,D
33,我国企业编制利润表多采用的格式是【】。,报告式,多步式,单步式,账户式,B
34,如交易产生退换货，商品退回至商户处时，商户签收商品后对于商品表面一致的问题有异议或由于商品表面一致问题拒绝签收的，（）有权要求商户提供承运人加盖公章的证明文件，证实退换货商品存在表面不一致情形（如破损/少件/空包裹等）。,远程银行中心或分行,科技部门,快递公司,客户,A
35,需求单位负责项目的产品风险管理，不包括以下哪项。,合规风险管理,项目实施过程中与产品相关的客户信息和交易数据泄漏,业务数据的违规使用,流程设计缺陷,A
36,客户提交换货申请并得到商户审核同意后，商户应在收到客户退回的商品后（）日为客户再次发货，并在规定时间内对客户的退换货申请进行处理。,1,3,7,14,C
37,各级行应加强对存管后台业务的监督，定期或不定期进行业务检查。监督检查内容包括（）。,原始凭证是否真实完整,记账凭证各项要素是否与原始凭证相符,业务申请是否经有权人审批，业务操作是否符合规定,以上都有,D
38,下列数据中【】是衡量财政支出相对规模的指标。,财政支出占财政收入的比重,中央财政支出占全国财政收入的比重,中央财政支出占全国财政支出的比重,财政收入占国内生产总值的比重,C
39,税收的【】是税收本质的体现，它反映的是一种社会产品所有权、支配权的单方面转移关系，而不是等价交换关系。,强制性,固定性,有偿性,无偿性,D
40,FinTech是指,金融科技,社会化金融科技,智能化金融科技,智能技术,A
41,2011年开始企业级业务架构，新一代核心银行系统建设的银行是哪家？,中国银行,工商银行,交通银行,建设银行,D
42,政府凭借国家政治权力，以社会管理者身份筹集以税收为主体的财政收入，用于保障和改善民生、维持国家行政职能正常运转、保障国家安全等方面的收支预算，指的是【】。,―般公共预算,政府性基金预算,社会保障预算,国有资本经营预算,A
43,关于经济增长与经济发展之间的关系，下列说法正确的是【】。,经济增长与经济发展是同一概念,经济增长过程中必然伴随着经济发展,经济增长不等于经济发展，但经济发展过程中必然存在经济增长,经济增长不等于经济发展，经济发展与经济增长没有关系,C
44,想要实现高效的精细化运营，最有效的办法就是建立什么？,业务运营体系,用户成长体系,用户标签体系,数据模型体系,C
45,数据的离散程度越大，集中趋势的测度值对该组数据的代表性【】。,越好,越差,始终不变,不确定,B
46,知识图谱引擎当前已为3个总行业务部门，2家分行提供“资产输出+模型输出”服务。以下哪个模型对分期账户资金回流或资质风险评估，准确率达到了97%。,信用卡分期客户资金回流监测模型,基于转账关系的反洗钱可疑客户识别模型,信用卡欺诈客户识别模型,借记卡客户模型,A
47,传统货币数量说中，具有代表性的是费雪的现金交易数量说和剑桥学派的现金余额数量说，两者得出的结论是:假设其他因素不变，则【】。,物价水平和货币量成反比，货币价值与货币量成正比,物价水平和货币量成正比，贷币价值与货币量成正比,物价水平和货币量成反比，货币价值与货币量成反比,物价水平和货币量成正比，货币价值与货币量成反比,D
48,线性回归模型常用的参数估计方法是【】。,最大二乘法,最小二乘法,最小残差和法,最大残差和法,B
49,【】是所有权内容的核心，是拥有所有权的根本标志。,占有权,使用权,处分权,收益权,C
50,在金融市场中，金融机构之间以货币借贷方式进行短期资金融通活动的市场称为【】。,同业拆借市场,债券市场,股票市场,投资基金市场,A
51,以2010年为基期，某国2017年、2018年广义货币供应量的定基发展速度分别是137.4%和164.3%，则2018年与2017年相比的环比发展速度是【】。,0.164,0.196,0.269,1.196,D
52,强调消费与个人生命周期阶段之间关系的经济学家是【】。,凯恩斯,莫迪利安尼,弗里德曼,科斯,B
53,某国2019年财政支出为10000亿元，国内生产总值为40000亿元；2020年财政支出为11200亿元，国内生产总值为44000亿元。则该国2020年财政支出增长的边际倾向为【】。,0.3,3.3,0.12,1.2,A
54,《十四五规划纲要》提出，2035年的远景目标是【】。,我国将基本实现社会主义现代化,经济发展取得新成效,改革开放迈出新步伐,生态文明建设实现新进步,A
55,对一些高档品和资源性消费品征收消费税，可以达到引导消费方向、控制资源浪费和保护生态环境的目的，是财政政策【】的体现。,导向功能,协调功能,控制功能,稳定功能,C
56,下列哪一种犯罪不是洗钱犯罪的上游犯罪?,破坏金融管理秩序犯罪,金融诈骗罪,职务侵占罪,贪污贿赂犯罪,C
57,关于财政支出规模变化的指标，下列表述中正确的是【】。,财政支出增长率表示当年财政支出与上年同期财政支出之比,财政支出增长弹性系数是指财政支出增长额与国内生产总值增长额之比,财政支出增长的边除倾向是指财政支出增长额占国内生产总值增长额的比例,财政支出增长的边际倾向是当年财政支出比上年同期财政支出增长的百分比,C
58,在税制要素中，反映具体的征收范围、代表征税广度的是【】。,纳税人,计税依据,税目,纳税环节,C
59,兴农商城商户应当按照兴农商城的相关要求，在交易达成（指在线付款的订单客户成功付款；货到付款的订单客户成功提交订单）后（）日内完成商品发货。,20,15,10,5,D
60,下列那些文件需要纳入规章制度进行管理？,《贷款业务办理手册》,《客户服务工作手册》,《监控设备采购方案》,操作细则,D
61,金融危机的发生不具有【】的特点。,频繁性,广泛性,独立性,严重性,C
62,____情况下，客户登陆掌上银行，通过刷脸进行辅助验证。,3天未登录掌银APP,掌银APP更新版本后,新设备上安装掌银APP,关闭掌银APP,B
63,金穗尊然白金卡典藏版主卡年费____，精粹版主卡年费____。,3000元人民币/年；880元人民币/年,2800元人民币/年；980元人民币/年,2600元人民币/年；900元人民币/年,2400元人民币/年；800元人民币/年,A
64,企业财务目标实现的稳健保证是【】。,支付能力,偿债能力,营运能力,盈利能力,B
65,美国经济学家法玛认为，如果有关证券公开发表的资料不影响证券价格的变动，则证券市场达到【】。,弱型效率,半强型效率,半弱型效率,强型效率,B
66,农银e管家商户申请成为渠道商户需拥有____家（含）下游经销商或自营销售网点。,10,20,30,40,A
67,某大型公司为了筹措资金，在货币市场上发行5000万元短期无担保债券，并承诺在3个月内偿付本息。该公司采用的这种金融工具属于【】。,大额可转让定期存单,商业票据,承兑汇票,同业拆借,B
68,建立网络金融内训师队伍，实现全行员工分层分级培训全覆盖，全力建设“________”的复合型人才队伍。,互联网+金融,互联网+技术应用,金融+互联网+技术应用,金融+技术应用,C
69,假设只有一种生产要素投入可变、其他生产要素投入不变，关于边际产量和平均产量关系的说法，正确的是【】。,只要边际产量大于平均产量，平均产量就是递增的,只要边际产量等于平均产量，平均产量就是递增的,“只要边际产量小于平均产量，平均产量就是递增的,只要边际产量大于平均产量，平均产量就是递减的,A
70,本外币整存整取定期存款存期不包括哪项,一个月,半年,三年,五年,A
71,国民收入形成后，对生产经营者的利润和个人的纯收入发挥调节作用的税种是【】。,货物和劳务税类,所得税类,行为目的税类,财产税类,B
72,农业银行2017年7月与云从科技合作，借助其人脸识别的技术优势，推出ATM“（    ）”业务。,自动取款,刷脸取款,扫眼取款,指纹取款,B
73,某学校想要购买机构类人民币结构性存款存续期原则上不少于(  )天,30,45,60,90,A
74,手机银行App成为银行主渠道，农业银行推进“移动优先战略”，构建以掌上银行为核心的“（    ）”框架体系。,再造一个农业银行,线上农业银行,移动农业银行,手机农业银行,B
75,个人网上银行提供的客户服务不包括哪项,登录设置,手势密码设置,菜单设置,证书更新,B
76,下列各指标中，属于一致指标的是【】。,库存,广义货币,工业总产值,居民消费价格指数,C
77,农行线上信贷业务研发平台不包含,阿波罗平台,普提平台,数据网贷平台,信贷中台,D
78,机器学习模型主要分为有监督学习模型和____模型。,无监督,全监督,不监督,随机,A
79,涉及表面一致的事件，若客户在签收商品（）日内反馈破损，并提供有效凭证证明存在表面不一致情形的，商户应支持客户退款（客户拒绝签收的）或退货退款要求。,3,7,10,18,B
80,中央银行在宏观调控时应更多地注意的货币失衡是【】。,结构性失衡,局部性失衡,综合性失衡,总量性失衡,D
81,垄断企业为保证实现其利润目标而操纵市场、人为抬高产品价格而引起的通货膨胀，属于【】。,需求拉上型通货膨胀,结构型通货膨胀,利润推进型通货膨胀,输入型通货膨胀,C
82,公开市场操作是比较灵活的金融调控工具，关于其特点说法错误的是【】。,中央银行可以主动出击,可以经常性、连续性操作,可以直接影响货币供应量,可以不需要其他工具配合,D
83,零售业务数字化转型要坚持以____为中心，全面提升客户金融服务能力和零售业务价值创造能力。,市场需要,客户需要,客户需求满足,高质量发展,C
84,根据《中华人民共和国民法典》的有关规定，下列权利凭证中，不可以用于质押的是【】。,建设用地使用权,股权,应收账款,商标专利权,A
85,通过我行网络金融平台，客户不可办理如下理财产品相关业务,业务签约,风险测评,合格投资者声明,业务解约,D
86,政府通过罚款或增税来抑制的经济活动属于【】。,准公共物品生产,产生外部不经济的活动,纯公共物品生产,产生外部经济的活动,B
87,以下关于公共物品的描述，错误的是【】。,公共物品一旦被提供，增加一个人消费就会增加额外成本,非竞争性是主要特征,非排他性是派生特征,由美国经济学家保罗-萨缪尔森首次提出,A
88,下列情况中属于需求高弹性的是【】。,价格下降1%，需求量增加2%,价格上升2%，需求量下降2%,价格下降5%，需求量增加3%,价格下降3%，需求量下降4%,A
89,价格总水平一般用价格指数来度量，我国目前用于衡量价格总水平变动的基本指标是【】。,居民消费价格指数,固定资产投资价格指数,工业品出厂价格指数,企业间交易价格指数,A
90,兴农商城交易规则中，针对严重违规处理的可以采取哪些措施（）,关闭账号,关闭店铺,删除商品,以上都是,D
91,投资者风险承受能力测评问卷有效期为几年,一年,二年,三年,四年,A
92,当第三方支付机构出现违规情节时，以下哪一项不属于管理行可以采取的措施____。,限期整改,降低支付限额,缩小场景范围,吊销支付许可,D
93,政府预算必须包括政府所有的财政收入和支出内容，以便全面反映政府的财政活动，这是政府预算【】的要求。,统一性原则,合法性原则,公开性原则,完整性原则,D
94,在发生或者可能发生保密数据泄露、毁损、遗失或篡改等情况时，应根据____相关规定立即采取补救措施，防止保密数据扩散，保存有关记录，并向总行网络金融部报告。,《中国农业银行案件处置管理办法》,《中国农业银行网络金融业务风险管理办法》,《中国农业银行涉刑案件管理办法》,《中国农业银行保密管理办法》,D
95,对于客户发起的____转账业务，无法进行撤销操作。,延时转账,实时转账,普通转账,次日转账,B
96,（     ）是指中央预算单位工作人员持有的，主要用于日常公务支出和财务报销业务的信用卡。,国际旅游卡,中央预算单位公务卡,金穗公务卡,金穗准贷记卡,B
97,【】是供抽样所用的所有抽样单元的名单，是抽样总体的具体表现。,样本,总体,抽样框,入样单位,C
98,NLP统一服务引擎集成了大量领域内常用技术组件、工具，根据细分领域不同构建了数类NLP开发原型，不包括,自研地址比对,地址查询,文章推荐,客服系统,D
99,关于网络商户风险控制，下列说法错误的有？,各级行与第三方合作，要强化准入审核，遵循“了解你的客户”原则对合作方开展尽职调查,各级行在商户合作过程中，要遵循“审慎合作”原则，按照行内商户风险评级标准，对不同等级的商户采取不同的合作策略,各级行应采用定量和定性相结合的方式设置指标体系和评分规则对商户准入风险进行评级,各级行要按照相关制度要求做好商户巡查工作，在巡查中发现商户经营范围、经营场所、经营风险等发生变化的，只需及时更新信息即可,D
