id,question,A,B,C,D,answer
86,北京保险业突发事件应急预案所指的上访人员过激行为包括（）,静坐,游行示威,散发传单,围堵冲击政府部门,ABCD
87,关于保险合同的合同解除权，以下说法正确的是：（    ）,自保险人知道有解除事由之日起，超过三十日不行使而消灭,保险人在合同订立时已经知道投保人未如实告知的情况的，保险人不得单方解除合同,投保人故意不履行如实告知义务的，保险人有权解除合同,保险人在合同订立时已经知道投保人未如实告知的情况的，保险人可不承担赔偿或者给付保险金的责任。,ABC
88,按照保险赔偿款是否确定，可以将保险合同分为（）保险。,定值,不定值,格式,非格式,AB
89,财产保险业务，包括（）等保险业务,财产损失保险,责任保险,信用保险,保证保险,ABCD
90,2013年3月，原中国保监会正式发布保险监管核心理念和保险行业行业核心价值理念，保监监管核心理念是“为民监管、依法公正、科学审慎、务实高效”，保险业核心价值理念是（ ）,守信用,担风险,重服务,合规范,ABCD
91,保险销售从业人员不得进行误导销售或错误销售。在销售过程中( ),不得将保险产品与储蓄存款、银行理财产品等混淆，不得使用“银行和保险公司联合推出”、“银行推出”、“银行理财新业务”等不当用语,不得套用本金、利息、存入等概念,不得将保险产品的利益与银行存款收益、国债收益等进行片面类比,可以适当夸大保险合同的收益，承诺固定分红收益。,ABC
92,保险集合与分散风险的前提条件是（    ）。,大量风险,大量损失,同等风险,同质风险,AD
93,在核保的过程中，风险因素的识别和分析主要有以下几个方面（）,有形风险,道德风险和行为风险,法律风险,自然风险,ABC
94,保险实务中，中长期出口信用保险的投保人可能有（ ）,出口商,进口商,贷款银行,开证行,ABC
95,下列关于保险合同性质的表述中哪些是正确的（  ）,保险合同是射幸合同,保险合同是格式合同,保险合同是双务合同,保险合同是诺成合同。,ABCD
96,从保险的可经营性角度，符合下列条件的纯粹风险属于可保风险（）,损失是意外的,损失是不确定的或不可以测定的,大量同质的风险存在,保险对象的大多数不能再同时遭受损失,ACD
97,关于保险经纪公司的注册资本，下列说法错误的是：（　　）,经营区域不限于工商注册登记地所在省、自治区、直辖市、计划单列市的保险经纪公司的注册资本最低限额为5000万元,经营区域为工商注册登记地所在省、自治区、直辖市、计划单列市的保险经纪公司的注册资本最低限额为500万元,必须为实缴货币资本,无形资产可以折算成货币资本出资,BD
98,现代保险的功能包括（    ）。,经济补偿,资金融通,社会管理,社会和谐,ABC
99,财产保险的可保利益来源于投保人对保险标的所拥有的各种权利，包括( ),所有权、经营权,使用权、承运权,保管权、抵押权,留置权,ABCD
