id,question,A,B,C,D,answer
73,以下法人单位中属于其他法人的是（）。,居民委员会,农民专业合作社,基金会,共青团,ABC
74,根据《关于规范金融机构资产管理业务的指导意见》，下列说法正确的是（  ）。,金融机构在发行资管产品时，要按照产品分类标准向投资者明示资管产品的类型，并按照确定的产品性质进行投资,在资管产品成立后至到期日前，不得擅自改变产品性质,资管产品的实际投向不得违反合同约定，但高风险类型的产品可以超出比例范围投资较低风险资产,低风险类型资管产品实际投向超出合同比例范围投资高风险资产的，应事前取得投资者书面同意，并履行登记备案等法律法规及金融监督管理部门规定的程序,ABCD
75,下列行业中不属于完全竞争模式的是（  ）,飞机,卷烟,农产品,汽车,ABD
76,作为银行从业人员，下列哪些行为是被禁止的？(  ),银行员工小王上班时间利用手机买卖股票。,银行员工小张在一家房地产企业任职，并按月获取报酬。,银行员工柳某为取得客户的信任与客户私下签订业务协议。,银行员工赵某为更好地开发业务给予客户各种形式的非法利益。,ABCD
77,当生产函数Q=F（L、K）的APL为正且递减时，MPL可以是,递减且为正,递减且为负,为零,上述都是错误的,ABC
78,西方微观经济学认为，所有的社会都要解决（）。,生产何种产品和劳务及其数量,如何生产这些产品和劳务,通货膨胀是否影响生产产品和劳务,谁将得到这些产品和劳务,ABD
79,本行须成立由（）等相关部门负责人组成的征信信息安全及应急处置领导小组，负责统筹本机构征信信息安全管理和信息安全事件核查处置工作。,业务,技术,法律,舆情,ABCD
80,以下是国债投资逻辑的是（ ）,A风险较小,B供给稳定,C有利于开展回购,D实现收益可观,ABCD
81,总行投资理财部在材料分析的基础上，对投资合作机构的(   )等开展尽职调查。,资质条件,专业投资,服务能力,风险管理水平,ABCD
82,网络贷款的局限包括,准入标准过低,监管缺失,网贷公司良萎不齐,是替代民间金融的一种尝试,ABC
83,“两权”抵押贷款专项统计制度主要贷款的（   ）、资产质量、逾期期限和利率水平等方面的统计内容。,规模,期限,担保方式和抵押品价值,承贷主体和所属行业,ABC
84,完善互联网金融行业监管措施，有哪些方面工作?,明确法律地位和监管职责。,构建互联网金融市场的准入和退出制度。,推进互联网金融的统计监测和社会信用体系建设等有关基础性工作。,去加强金融消费者的教育和保护工作,ABCD
85,基数效用论消费者均衡的条件是,无差异曲线与预算线相切,MUx/Px=MUy/Py,MRSxy=Px/Py,MUx/MUy=Px/Py,BD
86,中债收益率曲线品种，按收益率类型可划分为：(),到期收益率曲线,即期收益率曲线,远期收益率曲线,信用收益率曲线,ABC
87,互联网金融将呈现的发展趋势有?,全面创新网络金融服务和金融产品,一体化金融服务平台,出现被广泛认同的金融服务品牌,实现标准化和个性化的网络金融服务,ABCD
88,房地产贷款存量统计月报统计范围包含以下（）,单位自建自用房,农民宅基地上建的小产权房,保障性住房,个人商业用房,CD
89,根据《商业银行理财业务监督管理办法》规定，理财产品宣传销售文本应当全面、客观反映理财产品的重要特性和与产品有关的重要事实，语言表述应当真实、准确和清晰，不得有下列情形：(  )。,虚假记载、误导性陈述或者重大遗漏,违规承诺收益或者承担损失,夸大或者片面宣传理财产品，违规使用“安全”“保证”“承诺”“保险”“避险”“有保障”“高收益”“无风险”等与产品风险收益特性不匹配的表述,登载单位或者个人的推荐性文字,ABCD
90,根据《关于规范金融机构资产管理业务的指导意见》规定，标准化债权类资产要符合以下条件（   ）。,等分化，可交易,信息披露充分,集中登记，独立托管,在银行间市场、证券交易所等经国务院同意设立的交易市场交易,ABCD
91,《关于加强金融消费者权益保护工作的指导意见》指出，要坚持市场化、法治化的原则，坚持（）相结合，建立健全金融消费者权益保护监管机制和保障机制。,市场运行,合规合法,审慎监管,行为监管,CD
92,根据《全国银行间债券市场债券买断式回购业务管理规定》，进行买断式回购，任何一家市场参与者单只券种的待返售债券余额应小于该只债券流通量的（  ），任何一家市场参与者待返售债券总余额应小于其在中央国债登记结算有限责任公司托管的自营债券数量的（  ）。,0.2,0.3,1,2,AD
93,区块链转账为什么会有延迟现象   ；,区块链网络拥堵,交易平台用户增长过快，造成平台与所需转账的资产种类交易速度不匹配,转账时忘记支付或较少支付矿工费,转账金额不足,ABCD
94,涉农贷款专项统计指标中，涉农贷款是以下哪几项之和（）,农户贷款,农村企业和各类组织贷款,城市企业和各类组织涉农贷款,非农户个人农林牧渔贷款,ABCD
95,《山东省农村商业银行自营业务管理暂行规定》要求，农村商业银行应对交易对手实行名单制管理，指定准入标准，严格控制与省外金融机构、出现负面舆情以及经营情况不明、风险较高的金融机构开展业务，不得与（  ）开展业务。,不在白名单范围内的机构,非持牌金融机构,非金融机构,非股份制银行,ABC
96,银行保险机构应确保消费者权益保护部门的人员配备和经费预算，保障开展消费者权益保护工作的（）。,独立性,权威性,合法性,专业性,ABD
97,根据《关于规范金融机构同业业务的通知》，买入返售（卖出回购）业务项下的金融资产可以是（  ）等在银行间市场、证券交易所市场交易的具有合理公允价值和较高流动性的金融资产。,银行承兑汇票,债券,同业存款,央票,ABD
98,对称加密的安全性取决于什么   ；,加密算法本身的强度,密钥是否被安全保管,密钥长度是否超过11位,加密算法是否足够复杂,AB
99,美国对于第三方支付监管包括哪些方面？,立法层面,业务许可层面,监管机制层面,沉淀资金管理层面,ACD
