id,question,A,B,C,D,answer
38,房地产贷款专项统计中保障性租赁住房开发贷款的判断标准是获得（）的保障性租赁住房项目。,各级政府相关部门批复,土地部门批复,保障性租赁住房项目认定书,上级行信贷批复书,C
39,根据《最高人民检察院、公安部关于印发＜最高人民检察院公安部关于公安机关管辖的刑事案件立案追诉标准的规定（二）＞的通知》规定，以非法占有为目的，诈骗银行或者其他金融机构的贷款，数额在（）以上的，应予立案追诉。,3万元,5万元,1万元,2万元,D
40,银行业监督管理机构建立银行业金融机构监督管理信息系统，分析、评价银行业金融机构的风险状况，属于（  ）。,并表检查,跨境检查,现场检查,非现场检查,D
41,经营者及其工作人员对收集的消费者（）必须严格保密，不得泄露、出售或者非法向他人提供。经营者应当采取技术措施和其他必要措施，确保信息安全，防止消费者个人信息泄露、丢失。,购买意向,个人信息,产品说明,产品价格,B
42,对备案机构自查自纠工作不到位的，将依照（）等制度予以严肃查处。,《征信机构管理办法》,《中国人民银行关于进一步加强征信信息安全管理的通知》,《企业征信机构备案管理办法》,《征信业管理条例》,C
43,某交通运输业企业（非铁路运输）从业人数为200人，营收为2000万元，该企业属于（）,小型企业,微型企业,大型企业,中型企业,A
44,贷款余额（）（含）以下公司类客户，每季度至少开展一次非现场贷后检查，每半年至少开展一次现场检查；,1500万元,2000万元,500万元,1000万元,D
45,（）负责执行经董事会批准的业务连续性管理政策。,高级管理层,股东,董事会,监事会,A
46,（  ）是指导致银行直接或间接损失的偶发事件发生后，相关部门或机构对事件经过、发生原因、损失影响以及采取的措施等进行的报告。,全面风险管理报告,风险管理年度实施情况报告,风险监测报告,风险事件报告,D
47,券商类机构要满足委托投资类合作机构的准入门槛，近两年监管评级须在 （）及以上。,BBB,BB,A,AA,A
48,银行保险机构（）应确保消费者权益保护战略目标和政策得到有效执行。,高级管理层,消费者权益保护委员会,董事会,监事会,A
49,根据《金融违法行为处罚办法》规定，金融机构的工作人员离开该金融机构工作后，被发现在该金融机构工作期间违反国家有关金融管理规定的，（）追究责任。,应当,可以,不再,免于,A
50,中国人民银行的行长由（）提名，由（）任免。,主席 全国人大,主席 全国人大或全国人大常委会,总理  主席,主席  全国人大常委会,C
51,各级监管机构要督促银行业金融机构切实承担起消费者权益保护工作的（），贯彻落实消费者投诉“首问负责制”，及时化解各类纠纷、矛盾。,主体责任,管理责任,主要责任,连带责任,A
52,经批准设立的商业银行，由国务院银行业监督管理机构颁发经营许可证，并凭该许可证向（）办理登记，领取营业执照。,工商行政管理部门,人民银行,国务院银行业监督机构,国务院财政部门,A
53,“直接以农、林、牧、渔业产品为原料进行的谷物磨制、饲料加工、植物油和制糖加工、屠宰及肉类加工、水产品加工，以及蔬菜、水果和坚果等食品的加工。”以上描述属于（  ）行业。,畜牧业,农林牧渔服务业,农副食品加工业,食品制造业,C
54,借新还旧贷款最高分类为（）类,损失,关注,次级,可疑,B
55,国际组织是指（）个或以上国家（或其他国际法主体）为实现共同的政治经济目的，依据其缔结的条约或其他正式法律文件建立的常设性机构。,四,五,二,三,D
56,假如银行存款存放到金融租赁公司，那应该放在哪里？,存放境内交易及结算类金融机构,存放境内其他金融机构,存放境内银行业存款类金融机构,存放境内银行业非存款类金融机构,D
57,银行或从业人员在产品销售过程中如果进行捆绑销售，强制要求消费者购买不需要的银行产品，将会损害银行消费者（）。,公平交易权,监督权,知情权,自主选择权,D
58,大中小企业按行业分类统计中“境内小型关停企业贷款”与小型企业贷款五级分类指标的关系是,大于等于“次级”、“可疑”、“损失”之和,大于“次级”、“可疑”、“损失”之和,小于等于“次级”、“可疑”、“损失”之和,小于“次级”、“可疑”、“损失”之和,C
59,信贷管理实行()负责制。,行长,董事长,授信审批部总经理,分管行长,B
60,商业银行不得向关系人发放（  ）。,保证贷款,信用贷款,质押贷款,抵押贷款,B
61,消费者权益保护内部考核应至少以（）为一个考核周期。,三年,一年,一个月,一季度,B
62,A公司从事产业园房屋租赁，在“贷款分行业统计月报表”中，其贷款应计入（）。,水利、环境和公共设施管理业,居民服务、修理和其他服务业,房地产业,商务服务业,C
63,以下哪个不是制定《中华人民共和国消费者权益保护法》的制定目的（）。,建立公平公正的社会经济秩序,促进社会主义市场经济健康发展,保护消费者合法权益,维护社会经济秩序,A
64,金融管理部门要根据国家发展普惠金融有关要求，扩大（）覆盖面，提高渗透率。金融机构应当重视金融消费者需求的多元性与差异性，积极支持欠发达地区和低收入群体等获得必要、及时的基本金融产品和服务。,普惠金融,理财需要,银行业务,市场竞争,A
65,马上消费金融公司属于（）,交易及结算类金融机构,其他金融机构,银行业存款类金融机构,银行业非存款类金融机构,D
66,在中长期贷款按实际投向统计报表中，对银行业非存款类金融机构、证券业金融机构、保险业金融机构、特定目的载体的拆放款项视为对（  ）贷款,金融业,以上都不是,租赁和商务服务业,其他服务业,A
67,下列做法不正确的是（）。,明确告知金融消费者各个环节的计费标准及可能存在的费用减免政策,及时将提供金融产品或者服务中遇到的问题、意见建议反馈至本行相关部门,可以要求金融消费者购买协议中未做明确要求的产品或者服务,严格区分自有产品和代销产品，严格执行“双录”有关规定,C
68,助学贷款应收贴息额是贷款银行申请的、经由财政部门审核后应拨付的助学贷款贴息额，该指标统计是（）,本期累计数,应收贴息余额,本年累计数,历年累计数,D
69,《金融机构信贷发放情况专项统计制度》中统计的“贷款发放额”不包括（  ）,各项垫款,贸易融资,融资租赁,转入贷款,D
70,经营性物业抵押贷款如下哪个用途应填入房地产开发贷款中。,支持房地产开发或经营性物业的装修改造,用于公司经营,置换股东预付款,支持其他购房需求,A
71,贷款变动因素专项统计数据报送频度为（ ），批次为（）。,季度，第一批次,季度，第二批次,月度，第一批次,月度，第二批次,D
72,贷款变动因素专项统计报送的数据属性是什么？,当年发生额,历年累计发生额,报送期末余额,报送期初余额,A
73,房地产贷款存量统计表中，个人住房贷款项下分为（    ）。,新建房贷款和二次交易房贷款,新建房贷款和再交易房贷款,一手房贷款和二手房贷款,一手房贷款和二次交易房贷款,B
74,与企业日常活动无关的政府补助，应填入本外币利润表中的（）,其他业务收入,投资收益,营业外收入,其他收益,C
75,商业银行采用权重法计量信用风险加权资产的，超额贷款损失准备可计入二级资本，但不得超过信用风险加权资产的（）。,1.5%,2.5%,1%,1.25%,D
76,金融机构资产负债项目月报表A1411中以下哪个指标不应报数,中央银行委托贷款,自营外汇买卖,境外筹资转贷款,以外汇交存人民币存款准备金,D
77,下列哪些活动是商业银行员工知识、技能匮乏的表现，进而可能引发操作风险,滥用职权，对客户交易进行误导,员工与外部人员串通，违反内部指引、政策及程序为外部人员打开方便之门,核心员工流失，致使关键信息缺乏共享,工作中意识不到自己缺乏必要的知识，按照自己认为正确的方式工作,D
78,《境内大中小型企业贷款专项统计制度》中企业授信户数按照（   ）进行填报。,分支金融机构,虚拟金融机构,法人金融机构,地市级金融机构,C
79,单位人民币卡账户的资金一律从其（）转入，不得存取现金。,基本存款账户,一般存款账户,临时存款账户,专用存款账户,A
80,融资租赁与经营型租赁相比最根本的区别在于转移了,与资产所有权相关的所有风险和报酬,所有权,A与资产所有权相关的所有风险,与资产所有权相关的所有报酬,A
81,下列不属于消费贷款的有（   ）。,个人汽车消费贷款,信用卡及账户透支贷款,个人住房贷款,助学贷款,B
82,下列关于《中国人民银行金融消费者权益保护实施办法》（中国人民银行令〔2020〕第5号）规定的说法错误的是（）。,银行、支付机构必须建立金融消费者权益保护专职部门,金融消费者权益保护专职部门或者指定牵头部门定期向高级管理层、董（理）事会汇报消保工作开展情况,银行、支付机构可以指定金融消费者权益保护牵头部门,银行、支付机构应当明确消保部门及人员职责，确保部门有足够的人力、物力能够独立开展工作,A
83,商业银行应当指定专门部门作为（  ）职能部门，牵头内部控制体系的统筹规划、组织落实和检查评估。,内控管理,目标制定,合规审计,战略实施,A
84,某企业在一家金融机构的上海分支机构开立账户，并取得贷款，1个月后，又持票据至同一家金融机构的苏州分支机构直接贴现。月末，苏州分支机构统计该企业的授信户数是（）户，贷款户数是（）户。,1，0,0，0,1，1,0，1,D
85,在贷款按行业分类统计表中，担保公司（非借款担保、发行债券担保、工程担保）的贷款应属于哪个行业,居民服务、修理和其他服务业,公共管理、社会保障和社会组织,金融业,租赁和商务服务业,D
86,根据中间业务统计制度规定，中间业务包括结算性中间业务、担保性中间业务、管理性中间业务、投资银行业务、其他中间业务。以下属于管理性中间业务收入的是。（  ),财务顾问收入,保管箱业务收入,理财业务收入,银行承兑汇票收入,C
87,本行流动性风险管理，以（  ）管理为基础，结合流动性风险限额和监测指标，以及流动性压力测试等工具对短期、中长期流动性进行管理。,负债计量,流动性缺口计量,所有者权益计量,资产计量,B
88,在下列哪种状况下银行业金融机构接受到国务院银行业监督管理机构的检查频率较高，检查范围较广（  ）。,风险较高,收入来源较多,分支结构较多,信贷规模较大,A
89,商业银行向关系人发放（  ）的条件不得优于其他借款人同类贷款的条件。,抵押贷款,担保贷款,信用贷款,保证贷款,B
90,生态环境改造贷款指银行业金融机构发放的用于脱贫地区退耕还林还草、防护林建设、石漠化治理、防沙治沙、湿地保护与恢复、坡耕地综合整治、退牧还草、水生态治理等项目的贷款，该项目服务的地区人口中脱贫人口占比不低于(    )。,10,20,15,5,A
91,对于跨行业经营的企业以及企业集团来讲，每笔贷款的行业划分要结合贷款的（ ）进行具体分类,贷款企业主要业务,贷款企业所属行业,用途,期限,C
92,农村商业银行（）作为责任人，负责本行金融消费者权益保护工作协调配合机制的有效运行。,监事长,分管行长,董事长,行长,D
93,根据人民银行《境内大中小型企业贷款统计制度修订内容》（2014）规定，个体工商户和小微企业主经营性贷款在统计分类中属于（  ）。,个人贷款,单位贷款,小型企业贷款,微型企业贷款,A
94,商业银行以其全部法人财产独立承担（）。,行政责任,经济责任,刑事责任,民事责任,D
95,非居民：是指所有不具有常住性的(       )。,机构和个人,自然人,外国人,个体工商户,A
96,以下对个人住房贷款统计季报表中的指标解释正确的是（）。,一笔贷款只要有一期本金或利息未全部偿还，就应计入逾期,一笔贷款本金如期偿还，仅有一期利息未偿还，则该笔贷款不应计为逾期,“以个人住房为抵押品的贷款”投向须为房地产业,“以非个人住房为抵押品的贷款”投向须为房地产业,A
97,我行应每（）至少组织一次业务连续性计划演练,季,月,年,半年,C
98,按最新国标分类，计算机软件的研究开发与设计应该归入（   ）行业。,居民服务、修理和其他服务业,文化、体育和娱乐业,科学研究和技术服务业,信息传输、软件和信息技术服务业,D
99,《商业银行合规风险管理指引》所称的法律、规则和准则不包括（）。,自律性组织的行业准则、行为守则和职业操守,银行业经营规则,银行业经营活动的法律、行政法规、部门规章及其他规范性文件,商业银行企业文化及服务规范,D
