id,question,A,B,C,D,answer
25,截至 2017 年末，农业银行资本充足率为（）,13.74,13.05,13.40,13.76,A
26,应采用内部评估方式进行价值评估的押品有（）,海域使用权,金融质押品,拟接收押品实施以资抵债的,承包经营权,B
27,办理信贷业务时，客户部门提交的材料中，不属于客户基础资料范围的是（）,根据规定要求提供的股东会或董事会决议、文件或具有同等法律效力的文件或证明,近三年财务年报与近期财务报表，用信用途和还款来源证明及要求客户提供资产及担保资料等,年检合格的营业执照、公司章程、验资证明,人民银行征信系统查询的企业信用报告,D
28,农业银行可接受的权利质押包括出质人有权处分的权利是（）,记载“委托收款”字样的票据,记载“现金”字样的票据,汇票、支票、本票,记载“质押”字样的票据,C
29,单家县级农合机构参与社团贷款余额原则上不能超过本机构各项贷款余额的(  )%。,0.4,0.45,0.3,0.35,C
30,法律风险是一种特殊类型的操作风险，它包括但不限于因监管措施和解决民商事争议而支付的罚款、罚金或者惩罚性赔偿所导致的(,资金损失,经济风险,风险敞口,经济损失,C
31,如果银行管理运用理财资金的实际回报率低于理财文件中约定的固定收益率，银行必须以其自有资金弥补实际收益与约定收益之间的差额，保证投资者获得约定的回报。这种产品最有可能是以下哪种？,保本浮动收益产品,非保本浮动收益产品,保证固定收益产品,保证最低收益产品,C
32,下列关于关系人的表述，错误的是（  ）。,关系人包括商业银行的董事及其近亲,商业银行不得向关系人发放担保贷款,关系人包括商业银行的管理人员及其近亲,商业银行不得向关系人发放信用贷款,B
33,应收账款是指（   ）因提供一定的货物、服务或设施而获得的要求义务人付款的权利。,抵押人,权利人,借款人,贷款人,B
34,营运能力影响企业的偿债能力和盈利能力。企业资产周转速度越快，表明其（）越强，所取得的收入和盈利就越（）,偿债能力，多,周转能力，多,盈利能力，多,销售能力，多,D
35,“（  ）”是指农村合作金融机构对不同的方式、程度的集团客户实行不同的信贷业务政策和管理要求。,风险管理,区域管理,统一管理,分类管理,D
36,（）是新中国设立的第一家国有商业银行，也是改革开放后第一家恢,中国银行,中国建设银行,中国工商银行,中国农业银行,D
37,（  ）是指农村合作金融机构对不同的方式、程度的集团客户实行不同的信贷业务政策和管理要求。,风险管理,集团管理,关联管理,分类管理,D
38,农业银行理财产品的品牌名称是（）,金钥匙,行云,金光道,金益农,A
39,个人一手商用车和工程车辆贷款以“所购车辆+保证”担保的，保证担保金额最高不超过(  )万元。,100,50,200,150,B
40,以下不属于社团贷款成员社的基本职责的是：,签订社团贷款合作协议、借款合同、担保合同等，并在商定的时间按社团贷款承贷金额放款；,组织召开社团会议，协商解决社团贷款重大事项。,按照“信息共享、独立审批、自主决策、风险自担”的原则，并按实际承贷份额享有社团贷款项下相应的权利、义务、收益，自主承担风险；,对本机构承贷份额贷款开展社团贷款贷前调查、风险评价、决策审批和贷款管理；,B
41,以下属于低风险信贷业务的是（）,科创贷,税银通,简式贷,票据置换,D
42,个体工商户贷款仅以信用方式申请的，个体工商户贷款最高总额度不能超过借款人上一年可核实的经营收入总额的( )，并且不能超过()万元，其中以个人最高限额循环方式发放的，贷款总额度最高不超过(  )万元。,"30%,60,30","20%,40,20","50%,100,50","40%,80,40",C
43,对于支持整体棚户区改造项目的贷款期限最长不超过（）,20 年,25 年,10 年,15 年,B
44,客户风险承受能力主要是通过（ ）得到的。,客户提供资产证明,客户自我认定,客户风险承受能力评估,销售人员调查,C
45,可继续办理出口商票融资业务的情况是（）,进口商出现重大信用风险的,进口商所在国家突然受到外汇管制，但不影响农行收汇,出口商品市场价格波动较大的,出口商将出口收汇款项不汇入农行指定账户的,C
46,养老保障委托管理，是指养老保险公司作为（），接受政府部门、企事业单位等团体客户的委托，为其提供有关养老保障方案设计、账户管理、投资管理、待遇支付等服务。,托管人,投资管理人,受托人,账户管理人,C
47,办事处每半年对单户金额在（     ）以上的贷款（含存量贷款和新发放贷款）组织再会审。,500万元（不含）,500万元（含）,1000万元（不含）,1000万元（含）,D
48,发放假冒借名贷款或假用委托贷款之名发放贷款的，给予直接责任人（）以上处分，给予有关责任人员（）以上处分；采取假名、冒名等手段诈骗广西农合机构贷款的，给予直接责任人（）处分。,留用察看、警告、开除,留用察看、记过、开除,警告、通报批评、记过,记过、警告、记大过,A
49,个人一手商用车和工程车辆贷款中，传统动力汽车贷款最高发放比例为借款人购买汽车价格的（  ）%。,80,85,70,75,C
50,( )是指具有高度相关性的一组产品， 用于满足客户的某一类需求。,产品组合,金融超市,产品项目,产品线,D
51,对（ ） 应进行现场调查， 并将现场访谈记录和调查日志作为评级基础资料上传相关系统。,采用“ 专家评级” 方式或拟评为 BBB+级及以上的单一客户,采用“ 专家评级” 方式或拟评为 BBB+级及以上的集团整体客户,采用“ 模型评级” 方式且拟评为 AA+级及以上的集团整体客户,采用“ 模型评级” 方式且拟评为 AA+级及以上的单一客户,D
52,办理出口票据贴现的客户须为远期票据的（ ）。,所有人,善意持票人,付款人,出票人,B
53,仅支持拆迁、 补偿、 安置阶段的棚户区改造贷款期限最长不超过 （ ）。,10 年,15 年,5 年,8 年,A
54,固定资产贷款总期限最长不得超过项目建设期加上（定除外），确需超过上述期限的，按程序报总行核批。,15,20,8,10,A
55,商业银行为了与客户建立长久的合作关系，以较低的优惠价格，鼓励客户持续购买本行多种产品的定价策略是（）,关系定价,利益定价法,行为调整定价,渗透定价法,A
56,目前， 人民币利率互换的浮动端利率基准不包括_________。,1 年期定期存款利率等,Libor 同业拆借利率,7 天回购定盘利率,3 个月 Shibor 定盘利率,B
57,银行按照约定条件向客户承诺支付最低收益并承担相关风险，其他投资收益由银行和客户按照合同约定分配，并共同承担相关投资风险的理财产品。这种产品最有可能是以下哪种？,保本浮动收益产品,非保本浮动收益产品,保证固定收益产品,保证最低收益产品,D
58,商业银行在国内市场可以利用衍生金融工具转移(,操作风险,声誉风险,信用风险,市场风险,C
59,法人客户存量贷款风险分类为次级的，其信用等级最高不得超过（   ）级。,C级,D级,A级,B级,D
60,以下(  )不是脱贫人口小额信贷贷款对象。,错评户,2015年退出脱贫户,边缘易致贫户,2014年退出脱贫户,A
61,CMM 系统中（ ） 功能可以用来记录客户拜访日志。,联系人,业务分析,商机管理,客户接触记录,D
62,对于总投资 900 万元的固定资产贷款项目，当单笔贷款资金支付给借款人某一交易对手金额超过（）,45,50）万元时，应采取贷款人受托支付方式。,30,40,B
63,票据交易计算利息金额时的日计数基准为实际天数/(   )天，即计息天数按实际天数计算（算头不算尾），一年按（）天计算。,365,366,350,360,D
64,《 中国农业银行 2016-2020 年改革发展规划》 指导思想里提到， 努力将农业银行建成一家经营特色明显、 服务高效便捷、（ ）、 价值创造能力突出的国际一流商业银行集团。,机制灵活有效,无,功能齐全协同,流程顺畅协调,C
65,质押担保的设定，不正确的是（）,以其他权利出质的，必须到法定登记部门办理出质登记,仓单质押应在仓单背书记载质押事项，并要求保管人在仓单上签章确认,农业银行与出质人应签订质押合同,以应收账款质押的，农业银行只需与出质人签订登记协议即质押成立,D
66,《中国农业银行商品流通市场建设贷款管理办法》规定租售混合型项目出售部分的销售资金不低于（入惰况合理确定还款计划。,30%,90%,10%,20%,B
67,（   ）客户信用等级评定可以不撰写评定报告，直接根据客户信用等级测评表进行认定。,B级,D级,AA级,A级,A
68,以下说法错误的是（  ）。,内部员工因调离、辞职、开除或其他原因与广西农合机构解除劳动合同的，若其内部员工贷款还款付息正常，无须提前清偿。,内部员工贷款禁止用于购车首付款。,内部员工不允许办理异地贷款，但以借款人主办机构股金质押贷款的，可在其他农合机构办理。,区联社、办事处、计算机网络中心员工只能在本单位所在地的县级农合机构申请贷款，所属地区涉及多家县级农合机构的仅可选择一家作为主办机构。,A
69,受托代付业务的融资期限最长为（),一年,十八个月,六个月,九个月,A
70,以建设用地使用权单独设定抵押的，土地性质为住宅的抵押率不超过（），其他性质的建设用地使用权抵押率不超过（）。,70%，65%,65%，65%,65%，50%,70%，50%,D
71,县域中小企业应收账款质押融资业务的对象为注册地在县和县级市范围内从事生产经营活动的。（）,小型企业,中小企业,大型企业,中型企业,B
72,批量代收付业务的使用规定不包括（）,相同的批量文件不能在七个会计日内多次提交,客户发起批量代收付业务时系统将会校验收付款双方账号和户名，校验正确的入账，错误的退回,客户需与银行签署《中国农业银行现金管理代收代付协议》,结算账户必须在我行系统完成批量代收代付签约后才可执行此操作,A
73,下列关于贷款抵押的表述，不正确的是（）,当借款人不履行到期债务时，银行有权以变卖该财产的价款优先受偿,贷款担保的抵押物必须是抵押人所有或有权支配的财产,贷款抵押中，借款人或第三人将财产作为债权的担保,贷款抵押中，银行获得抵押财产的所有权,D
74,商业银行通常将()看做是对其经济价值最大的威胁，因为商业银行的业务性质要求其能够维持存款人、贷款人和整个市场的信心。,国家风险,声誉风险,信用风险,市场风险,B
75,将合规评价结果纳入人事考评和绩效考核评价体系， 确立正向激励机制，充分体现内控合规优先原则， 属于内控合规管理程序中的（ ）。,建立合规绩效考核制度,建立违规整改制度,建立合规性审核制度,建立有效的合规问责制度,C
76,财产抵押后，该财产的价值大于所担保债权的余额部分（）,可以再次抵押，但不得超出原担保债权额,应折算成现金返还借款人,不得抵押,可以再次抵押，但不得超出其余额部分,D
77,抵押人转让抵押物所得的价款，（）,应当向银行提前清偿所担保的债权，价款不足债权数额的部分由抵押人,应当向银行提前清偿所担保的债权，价款不足债权数额的部分由债务人,归债务人所有,应当向银行提前清偿所担保的债权，超过债权数额的部分归银行所有,B
78,一般流动资金贷款原则上要求借款人应具有（ ）以上自有资金。,0.3,0.15,0.1,0.2,A
79,协助营销是指协办行（业务涉及到的各区域行）在管理行（总、分行）的协调下，对主办行提供业务协助的营销方式，协助营销的操作行是（）,客户主办行或其指定的下级行,客户上级行或其主办行,具体经办行，也可由客户自行选择,具体经办行，不可由客户自行选择,A
80,（  )是指客户从商业银行对公业务产品中得到的基本利益和效用，是商业银行对公业务产品中最基本、最主要的部分。,扩展产品,无形产品,核心产品,形式产品,C
81,目前我行托管业务中对哪一类业务品种实际上是保管而非托管（）,商业银行理财产品,股权（创业）投资基金托管,证券公司集合资产管理计划托管,信托计划,D
82,县域高中贷款授信额度一般不超过学校上年度非限定性收入的（）,70%,80%,20%,60%,C
83,信用评为“一般”等级的，农户小额信用贷款授信额度不超过（  ）万元（含）。,2,3,1,1.5,C
84,（ ） 是指农业银行对满足规定条件的客户， 在授信额度内根据客户经营计划核定的仅用于办理 1 年以内短期信贷业务的可反复使用授信额度。,国际贸易融资额度,国内贸易融资额度,可循环使用信用额度,可循环使用流动资金额度,C
85,银行承兑汇票贴现期限自贴现之日起至汇票到期日止， 最长期限不超过（ ） 个月。,9,12,3,6,D
86,前十大客户贷款集中度是指以县级法人机构为单位，农合机构对其前十大客户贷款余额占其资本净额的比例。前十大客户贷款集中度不得超过（   ）%。,40,50,20,30,B
87,经营性固定资产贷款适用于公司客户生产经营中的合法、 合规、 合理的资金需求， 不包括（ ） 。,借款人为建设该特定资产形成的股东借款,特定资产的增值资金,全部或部分置换借款人建设该特定资产而形成的银行贷款,借款人建设该特定资产超过规定资本金额度以外的自有资金,B
88,办理国内信用证项下卖方押汇后，（款情况。,客户部门,国际业务部门）应密切关注国内信用证项下收,计划财会部门,运营管理部门,B
89,下列关于质押率的表述，不正确的是（）,质押权利价值可能出现增值,对于变现能力较差的质押财产，应适当提高质押率,质押率的确定要考虑质押财产的价值和质押财产价值的变动因素,质押率的确定要考虑质物、质押权利价值的变动趋势,B
90,新发放贷款分类时间，信贷经营部门应在信贷业务发放后（  ）天以内根据审定意见确定贷款类别。,20,30,10,15,B
91,国家担保创业贷款个人贷款期限最长不超过（  ）年。,2,1,5,3,D
92,在农业银行范围内多人重复查询同一客户同一时点征信系统信用报告时，后手通过（）可以直接调用前手查询结果。,企业征信系统,个人征信系统,农业银行征信系统,人民银行征信系统,C
93,集团整体最高综合授信额度核定后，集团成员应在各自授信额度内使用信用，（  ）相互占用授信额度。,偶尔,任意,可以,不得,D
94,中国农业银行股份有限公司成立于（）,2009 年 1 月 16 日,2009 年 5 月 20 日,2008 年 10 月 21 日,2008 年 11 月 6 日,A
95,《中国农业银行 2016-2020 年改革发展规划》指导思想里提到，努力将农业银行建成一家经营特色明显、服务高效便捷、（的国际一流商业银行集团。,机制灵活有效,无,功能齐全协同,流程顺畅协调,C
96,借款人申请个人住房贷款的共同还款人年龄在（  ）周岁（含）以上，贷款时不超过（  ）周岁。,"20,55","20,60","18,50","18,55",D
97,利用职务上的便利，挪用、侵占本社（行）或者客户资金的行为应给予何种处分（   ）。,降级,开除,警告,记过,B
98,个体工商户首次申请信用贷款最高额度不超过（   ）万元。,30,40,10,20,A
99,下列选项中不属于“安心快线”系列产品的子产品是：,步步高系列,大有系列,天天利滚利,7 天利滚利,B
