id,question,A,B,C,D,answer
12,某企业在进行成本性态分析时，需要对混合成本进行分解。据此可以断定：该企业应用的成本分析法是（       ）。,移动加权平均法,目标成本预测法,高低点法,直线回归分析法,D
13,费用类账户的会计期末余额（ ）。,在借方或贷方,在贷方,在借方,一般无期末余额,D
14,根据《中新税收协定》特许权使用费也可以在其发生的缔约国，按照该缔约国的法律征税。但是，如果特许权使用费受益所有人是缔约国另一方居民，则所征税款不应超过特许权使用费总额的（）。,8%,10%,5%,7%,B
15,支票的出票人禁止签发空头支票、与预留印鉴不符、使用支付密码编制错误的支票。此类支票已经发现，农商行应做退票处理，并按规定向人民银行报告，由人民银行按票面金额处理（）的罚款,5%但不低于500元,5%但不低于1000元,3%但不低于500元,3%但不低于1000元,B
16,客户连续密码输错次数超过（ ）次，客户可以通过密码挂失或密码重置设置新密码。,7次,5次,3次,10次,B
17,（）是具体交易的集合，岗位权限由其包含的交易权限确定。,柜员,机构,角色,岗位,D
18,支行（信用社）负责人或会计主管应（ ）对辖内营业场所业务垃圾管理情况至少抽查一次。,每季度,每半年,每周,每月,A
19,违规行为被发现后，一般应当在（）内作出处理决定，必要时经批准可适当延长三个月。,一个月,六个月,三个月,二个月,C
20,单位定期存款部分提前支取的，剩余部分不低于（）万元。,5万元,10万元,0.5万元,1万元,D
21,管理会计主要是为（   ）提供管理信息的。,政府部门,注册会计师事务所,企业内部使用者,企业外部使用者,C
22,根据我国《会计法》的规定，（ ）对本单位的会计工作和会计资料的真实性、完整性负责。,单位负责人,会计人员,总会计师,会计机构负责人,A
23,（ ）是总结反映当日银行全部业务活动和轧平当日全部账务的重要工具。,总账,日记表,登记簿,余额表,B
24,单位结算账户跨行社通兑转账业务单笔不得超过（ ）万元（含）。,50,100,20,30,A
25,根据客户事先申请或个性化要求进行制作，而后向客户发放的银行卡属于（）。,空白卡,已制卡,预制卡,预约卡,D
26,制定内部转移价格应强调（    ）。,企业整体,各责任中心,企业内部“买方”,企业内部“卖方”,A
27,教育储蓄的对象（储户）为在校小学（ ）以上学生。,一年级,六年级,四年级,二年级,C
28,关于反洗钱宣传，以下说法错误的是（    ）。,反洗钱宣传只针对一般员工，与中高级领导层无关。,对于普通员工的宣传可包括印制员工宣传手册、利用银行内部办公网络或信息网络、内部刊物等方式开展宣传。,对中高级领导层的宣传可包括通报新出台的反洗钱法律法规、中外反洗钱监管处罚实例等。,反洗钱宣传方式可灵活多样。,A
29,标准式混合成本又可称为（          ）。,延期变动成本,曲线式成本,半固定成本,半变动成本,D
30,（2021）下列收入实现确认时间的说法，符合企业所得税相关规定的是（）。,权益性投资按被投资方支付股息的日期确认收入的实现,接受捐赠收入，按实际收到捐赠资产的日期确认收入的实现,租金收入按承租人实际支付租金的日期确认收入的实现,利息收入按债权人实际收到利息的日期确认收入实现,B
31,"支行/信用社单设现金凭证库房的，支行/信用社行长（主任）对辖内网点现金凭证库房每（）至少检查一次,并对检查结果负责。",月,年,半年,季,A
32,各单位每年形成的会计档案，都应由（ ）按照归档要求，负责整理立卷，装订成册，编制会计档案保管清册。,财务会计部门,业务部门,会计师事务所,档案管理部门,A
33,行社应主动对客户的大额现金取款预约信息进行确认，加强对约而未取情形的监测，对于当月约而未取累计超过(  )次的客户，可采取强化预约审核、补充取款真实性说明材料等适当限制性措施。,10,2,5,3,D
34,假币收缴应当在监控下实施，监控记录保存期限不得少于（ ）个月。,3,6,1,2,A
35,在综合业务系统中，进行系统机构签到的是（ ）。,管理员,后台柜员,记账柜员,首位签到柜员,D
36,《民法典》规定，非法人组织包括（）、合伙企业、不具有法人资格的专业服务机构等。,事业单位,政府机关,个人独资企业,国企,C
37,银企对账管理系统中“逾期超30天”状态的账单是指账单发出（  ）后仍未回收的纸质账单、网银账单、自助设备账单。,90天,120天,30天,60天,A
38,（2021年）甲公司5年前以货币资金200万元投资乙公司、获得10%的股份。2020年乙公司因故被清算，甲公司分得剩余资产金额260万元，已知乙公司清算净资产总额中未分配利润占10%，盈余公积占5%。甲公司分得剩余资产应确认应纳税所得额（）万元。,34,21,60,47,B
39,下列关于国际税收的表述中，不正确的是（）。,国际税收的实质是国家之间的税收分配关系和税收协调关系,国际税收的基本原则分为单一课税原则和受益原则两类,国际税收是指对在两个或两个以上国家之间开展跨境交易行为征税的一系列税收法律规范的总称,国家间对商品服务、所得、财产课税的制度差异是国际税收产生的基础,B
40,"丰收互联APP转账查询菜单，能查询最近（ ）的交易指令,单次查询的起止时间跨度不能超过6个月。",12个月,3年,6个月,9个月,B
41,具有企业网银激活码及用户登陆密码发送权限的角色是（ ）。,行社经办,支行企业经办,行社系统管理员,审批岗,D
42,单位存款人撤销基本存款账户后，需要重新开立基本存款账户的，应在撤销其原基本存款账户后()日内申请重新开立基本存款账户。,10日,15日,5日,7日,A
43,对私客户可以在（）范围内申请产品（目前仅指各类存款账户、股权账户）证件信息变更，且变更前后的客户名称必须一致。,县辖,开户行,省辖,市辖,C
44,企业采用的会计处理方法不能随意变更，是基于（ ）原则。,一贯性,重要性,客观性,可比性,A
45,丰收贷记卡的激光防伪标志为（ ）。,立体天坛,立体长城,立体飞鸽,立体世界地图,A
46,票币整点要求中，挑净是指按规定标准对回收的人民币进行挑剔，完整券与损伤券分开。完整券和损伤券相互掺叉不超过（ ）。,1%,10%,5%,2%,C
47,（2021年）下列说法，符合高新技术企业所得税涉税后续管理规定的是（）。,企业自获得高新技术企业资格次月起开始享受企业所得税优惠政策,企业因重大安全事故被取消高新技术企业资格的应追缴已享受的全部税收优惠,企业的高新技术企业资格期满当年应按25%的税率预缴企业所得税,企业自获得高新技术企业资格后应按规定向主管税务机关办理备案手续,D
48,甲企业持有丙企业90%的股权，共计4500万股，2020年2月将其全部转让给乙企业。收购日甲企业每股资产的公允价值为14元，每股资产的计税基础为12元。在收购对价中乙企业以股权形式支付55440万元，以银行存款支付7560万元。假定符合特殊性税务处理的其他条件，甲企业转让股权应缴纳企业所得税（）万元。,280,300,250,270,D
49,库箱进行正常挂靠或正常移交后，状态变更为（）。,代保管,在库,交接,正常,D
50,（）用于办理各项专用资金的收付。,专用存款账户,临时存款账户,基本存款账户,一般存款账户,A
51,电子商业汇票为定日付款票据。电子商业汇票的付款期限自出票日起至到期日止，最长不得超过（）。,2年,3年,6个月,1年,D
52,下列各项支出，允许在计算企业所得税应纳税所得额时扣除的是（）。,超过规定标准的捐赠支出,环保部门罚款,关联企业租赁设备支付的合理租金,企业内营业机构之间支付的特许权使用费,C
53,2021年8月，李某取得财产租赁收入80000元，从中拿出20000元通过国家机关捐赠给受灾地区。李某8月份应纳个人所得税（）元。,8400,8960,6160,6272,B
54,下列说法错误的是 （  ）。,电子银行渠道产生的日间差错、对账差错均由系统自动处理,柜面渠道产生的日间差错、对账差错由柜员进行处理,支付系统往账业务差错按发起渠道分为柜面、电子银行等,支付系统差错按差错产生时间分为支付交易日间差错、支付交易对账差错两种,A
55,对开户之日起（）个月内无交易记录的账户，农商行应当暂停其非柜面业务，待营业机构向单位和个人重新核实身份后，可以恢复其业务。,6个月,12个月,1个月,3个月,A
56,从2014年3月6日起，客户书面挂失可在开户网点所属同一法人行社范围内的任一网点受理，挂失后的解挂、挂失补开和销户须在（ ）办理。,自助渠道,电子银行,挂失受理网点,任一网点,C
57,单位水平作业的作业成本高低与（）成比例变动。,产品的品种数,企业生产维持水平,产品产量,作业的批次,C
58,"根据《中国人民银行关于切实做好新形势下反假货币培训工作的通知》规定,反假货币培训结束后，组织对参训人员进行测评，并按照测评结果分档，合格及以上测评结果有效期为( )年。",3,5,1,2,A
59,以下关于支票付款的有关说法，不正确的是：(   )。,超过付款提示期限的，付款人可以不予付款,持票人超过付款提示期限的，并不丧失对出票人的追索权,支票限于见票即付，不得另行记载付款日期；另行记载付款日期的，该票据无效,支票的持票人应当自出票日起10日内提示付款,C
60,跨年度的会计差错应采用（ ）。,抹账,红蓝字传票冲正法,划线更正法,蓝字反方传票冲正法,D
61,（ ）业务由金融市场基础设施运营机构向大额支付系统发起，大额支付系统借、贷记指定清算账户后，将支付业务信息经付款清算行和收款清算行转发至付款行和收款行。,中国人民银行营业部门发起涉及清算账户的业务,小额支付系统、网上支付跨行清算系统、同城清算系统轧差净额的资金清算,贷记支付业务,即时转账业务,D
62,一捆现金中发现短款以上或金额以上，应于当天电话通知调出行和当地人民银行。（ ）,5张、贰佰元,5张、伍佰元,4张肆佰元,4张、贰佰元,A
63,同一客户在同一法人机构开立借记卡原则上不超过（）张。,5个,10个,1个,4个,D
64,大额支付系统设置（ ）时间，用于处理弥补清算账户头寸不足的支付业务，以及中国人民银行规定的其他业务。,业务截止,清算窗口,营业准备日终处,日间处理,B
65,国务院有关金融监督管理机构审批新设金融机构或者金融机构增设分支机构时，应当审查新机构(  )内部控制制度的方案；对于不符合反洗钱法规定的设立申请，不予批准。,贷款审批,反恐怖融资,反假币,反洗钱,D
66,（2020年）2020年3月高先生办理提前退休手续时，距离法定退休年龄还差2年，公司按照规定给予高先生一次性补贴收入16万，高先生领取补贴应缴纳个人所得税（）元,1200,2590,1248,5180,A
67,10月20日的中文大写（）。,壹拾月贰拾日,零壹拾月零贰拾日,零壹拾月贰拾日,壹拾月零贰拾日,B
68,作业成本法是指以（）为基础的成本计算方法。,客户,订单,产品,作业,D
69,2020年8月甲企业以吸收方式合并乙企业，合并业务符合特殊性税务处理条件。合并时乙企业净资产账面价值1100万元，市场公允价值1300万元，弥补期限内的亏损70万元，年末国家发行的最长期限的国债利率为4.5%。2020年由甲企业弥补的乙企业的亏损额是（）万元。,58.50,70.00,3.15,49.50,A
70,法人机构分管行长（   ）对中心金库查库不少于一次；,每半年,每年,每月,每季,A
71,丰收贷记卡临时调高信用额度一般不超过持卡人原信用额度的（ ），且有效期最长为（ ）。,50%，60天,100%，180天,100%，60天,50%，180天,C
72,企业2020年预算管理费用是100000元，其中折旧费用20000元，请问因为管理费用引起的预计现金需求量是多少？,20000,120000,100000,80000,D
73,某国家重点扶持的高新技术企业2020年不含税销售收入2100万元；销售成本1200万元；期间费用650万元（其中支付给残疾人职工工资10万元；新产品研发费用200万元；广告宣传费用200万元）；假设该企业不存在其他纳税调整项目，2020年应纳企业所得税额为（）万元。,62.5,137.5,10,13.5,D
74,跨年度发现错账，应填制（）凭证，经会计主管审查、批准后办理冲正。,蓝字同方向,红字同方向,蓝字反方向,红字反方向,C
75,丰收贷记卡持卡人支取现金或转账使用信用额度的，应按日利率万分之五支付所用款项部分从（ ）的透支利息。,银行记账日至到期还款日,交易日至到期还款日,银行记账日至还款日,交易日至还款日,C
76,以下信用卡卡种中，（）无取现功能,村务卡,腾讯联名信用卡,标准卡金卡,畅行卡,A
77,（  ）应根据机构营业使用现金情况灵活掌握机构的现金额度，确保营业机构每月的日均额度不超过核定限额。,凭证管理员,普通柜员,会计主管,现金管理员,D
78,以下（）所得，不属于个人所得税综合所得的范围。,稿酬所得,经营所得,工资、薪金所得,劳务报酬所得,B
79,农商行受理的现金支票的收款人不为出票人的，应严格审核款项用途，严格现金管理，原则上出票金额应在人民币（）万元以内,30,50,10,20,A
80,中国反洗钱监测分析中心发现银行报送的大额交易报告或者可疑交易报告有要素不全或者存在错误的，可以向提交报告的银行发出补正通知，银行应在接到补正通知的（ ）个工作日内补正。,7,10,3,5,D
81,成本中心控制和考核的内容是()。,直接成本,目标成本,责任成本,产品成本,C
82,借记卡卡号的第7至8位代表（ ）。,发卡顺序号,校验位,地区号,机构号,C
83,（ ）的业务要求在复核成功后方可更新分户账。,实时入账,逐笔入账,事后复核,即时复核,D
84,成本中心考的主要内容是（  ）。,该中心的可控成本和不可控成本,产品成本,该中心的不可控成本,责任成本,D
85,部分止付账户，（ ）。,对止付部分的金额可以支取,只付不收,只收不付,支取后余额不得少于止付金额,D
86,金融机构在办理业务时发现假币，由该金融机构（ ）名以上业务人员当面予以收缴。,三,二,一,四,B
87,结算账户相关开销户资料保管期限为（ ）年。,10年,销户后15年,销户后10年,15年,C
88,柜员密码连续输入错误次数超限（目前系统控制为（）次）的将被锁定。密码锁定后，需按“柜员密码维护”流程重置密码。,5,6,3,4,C
89,负债类账户的期末余额一般（ ）。,在借方，也可以在贷方,在贷方,在借方,为零,B
90,()用于办理单位存款人借款转存、借款归还和其他结算的资金收付。,专用存款账户,临时存款账户,基本存款账户,一般存款账户,D
91,（）业务是指付款行依据当事人各方事先签订的协议，定期向指定收款行发起的批量付款业务，包括代付工资业务、代付保险金、代付养老金业务和人民银行规定的其他业务，其业务特点是单个付款人同时向多个付款人付款。,实时贷记业务,实时借记业务,定期贷记业务,定期借记业务,C
92,重要空白凭证纳入（ ）科目核算，以（ ）的假定价格记账。,表内，按面额,表外，按面额,表内，一元一份,表外，一元一份,D
93,9.（单选题）关于房地产开发经营业务的税务处理，下列说法中错误的是（）。,公共配套设施尚未建造或尚未完工的，不可以预提建造费用,应向政府上缴的报批报建费用、物业完善费用可以按规定预提,企业委托境外机构销售开发产品的，其支付境外机构的销售费用（含佣金或手续费）不超过委托销售收入10%的部分，准予据实扣除,企业开发产品转为自用的，其实际使用时间累计未超过12个月又销售的，不得在税前扣除折旧费用,A
94,《关于银行业金融机构协助全省各级监察机关进行查询冻结工作的通知》中，冻结涉案财产的期限一般不得超过（  ），有特殊原因需要延长的，应当办理续冻手续。冻结期限届满，未办理冻结手续的，冻结自动解除。,2年,3年,6个月,1年,C
95,（）主要适用于农村商业银行签发的银行汇票、承兑的银行承兑汇票，以及已完成电子权属登记的纸质商业汇票添加背书粘单等。,本票专用章,票据交换专用章,业务专用章,汇票专用章,D
96,现行系统中，单笔开卡起始金额为（ ）。,5元,1元,0元,50元,C
97,根据《船舶吨税法》的规定，应税船舶发现多缴税款的，可以自缴纳税款之日起（）年内以书面形式要求海关退还多缴的税款并加算银行同期活期存款利息。,3,5,1,2,A
98,在2021年12月31日前，居民个人取得股票期权、股权激励的个人所得税处理正确的是（）。,不并入当年所得，全额单独适用综合所得税率计算纳税,不并入当年所得，单独适用综合所得税率按月份数分摊计算纳税,并入当年综合所得计算纳税,不作为应税所得征收个人所得税,A
99,银行本票自出票日起，付款期限最长不超过(   )，超过提示付款期限的，代理付款人不予受理。,三个月,六个月,一个月,二个月,D
