id,question,A,B,C,D,answer
48,一般情况下，政府实施最高限价可能产生的结果或问题有【】。,供给短缺,生产者变相涨价,黑市交易,生产者变相降价,ABC
49,社会主义所有制中公有制的主体地位主要体现在【】方面。,深化国有企业改革,公有资产在社会总资产中占优势地位,国有经济在重要行业和关键领域对经济发展起主导作用,满足全体人民的共同需要,BCD
50,标错类事件是指商品信息在兴农商城展示过程中发生标注错误，包括（）、规格参数等方面信息。,价格,数量,促销语,图片,ABCD
51,网络金融运管系统应遵循____原则。,依法合规,运管分离,分级运营,逐级管理,ABCD
52,对外内容发布时，鼓励倡导发布的内容有：,本行产品介绍、营销预热、优惠活动,本行官方政策、系统升级维护公告信息,年度主题宣传活动,本行商业秘密及内部敏感工作信息,ABC
53,申请入驻兴农商城产地直采的商户，企业须可以开具（）或（）。,增值税专用发票,普通发票,收据,出货单,AB
54,信息发布遵循的原则包括：,统一管理,功能突出,分工负责,严格审核,ACD
55,下列各项指标中，反映企业营运能力的是【】。,存货周转天数,应收账款周转次数,已获利息倍数,市盈率,AB
56,代理保险销售过程中应注意的风险点,提示客户明确保险需求,要防止保险不足或过度保险,要充分评估客户风险承受能力,严格遵守审慎经营规则,ABCD
57,证券公司应当向客户如实披露的情况包括（    ）。,客户资产管理业务资质,业绩,公司人员,管理能力,ABCD
58,如果客户以“收到的商品跟描述不一致”为由申请兴农商城介入纠纷处理，远程银行中心或分行有权要求客户提供商品的相关图片，如通过图片可以直接判定商品是否一致的，分行有权根据商品图片进行判断；如商品问题通过图片无法做出判断的，分行有权要求商户提供相关的证明文件，如厂家的（）等，以便核实处理。,经销凭证,产品合格证,商业发票,检测凭证,ABCD
59,证券、期货投资咨询机构及其投资咨询人员，应当以行业公认的（　　）的态度，为投资人或者客户提供证券、期货投资咨询服务。,谨慎,诚实,勤勉尽责,稳健,ABC
60,以下各项中，属于国家建设网联平台的意义的有____。,实现网络支付资金清算的集中化、规范化、透明化运作,节约连接成本，提高清算效率,支撑行业创新，促进公平竞争,助力资金流向有效监控，保障客户资金安全,ABCD
61,公开发行公司债券，应当符合下列条件,股份有限公司的净资产不低于人民币6000万元,累计债券余额不超过公司净资产的40%,有限责任公司的净资产不低于人民币3000万元,最近三年平均可分配利润足以支付公司债券一年的利息,BD
62,开放银行产品发布是产品或服务接口在开放银行平台的部署，根据应用范围，分为____两种。,定向发布,内部发布,公开发布,外部发布,AC
63,农户小额贷款（线下）借款人采用企业、农民合作社等实体形式经营，应符合以下条件之一____。,借款人家庭对该经营实体的持股比例应在50%以上。,借款人家庭对该经营实体拥有实际控制权。,借款人家庭持股比例不低于30%，且借款人与其一致行动人共同持股比例在50%以上。,借款人与其一致行动人共同持股比例在50%以上。,ABC
64,企业通过新一代海关税费电子支付系统缴纳海关税、费的种类主要包括,进出口关税,反倾销税,废弃电器电子产品处理基金,保证金,ABCD
65,建立健全线上用户运营策略包括________。,建立营销措施专项方案,建立健全分群分级的全网用户体系,建立用户全生命周期成长激励机制,建立风险防控方案,BC
66,线上营销项目需求单位的主要职责为____。,协同网络金融部制定年度线上营销项目计划，负责提出营销项目需求，主要包括项目目标、预算、内容、风控措施等内容。,负责制定本单位线上营销项目方案，提出立项申请。,牵头线上营销项目的实施，配合网络金融部对营销效果、费用使用情况开展评价。,负责制定线上营销项目应急预案，牵头处置突发事件。,ABCD
67,以下符合乡村振兴主题信用卡属性的有：,银联品牌IC卡金卡,有效期8年,账单日为每月1日,到期还款日为账单日后第19天,ABCD
68,运管系统操作机制包括____。,单人操作,双人操作,多人操作,同级操作,ABC
69,以下关于信息发布流程说法正确的是：,需求单位对信息内容进行采集和撰写,需求单位有权审批人按照有关规定完成审批后，须在拟定发布日期前至少1个工作日提交信息发布工作台审核,新闻信息或全行性品牌营销活动信息，需求单位审批完成后，还须提交企业文化部门审核,消费者权益保护消息，需求单位审批完成后，还须提交内控与法律合规部审核。,ACD
70,款项是作为支付手段的货币资金，主要包括【】。,现金,国库券,银行存款,银行汇票存款,ACD
71,金融科技改革三步曲包括,科技与产品创新管理体制改革,深化网络金融业务体制机制改革,全面实施数字化转型,运营体系改革,ABC
72,抽样调查是实际中应用最广泛的一种调查方式和方法，其特点有【】o,时效性强,通常是一次性或周期性的,准确性高,适用面广,ACD
73,数字化营销平台活动管理的内容主要包括：,活动配置,活动发布,活动监测,活动评价,ABCD
74,客户从事融券交易的，可以选择（　　）的方式，偿还向证券公司融入的证券。,以借还借,现金抵券,买券还券,直接还券,CD
75,为使证券研究报告发布符合合规管理要求，证券公司需要建立（      ）制度。,内部控制,隔离墙,跨越墙制度,证券研究报告合规审查,BD
76,关于助业贷，以下说法正确的是,可受托支付,用于经营,系统自动核定额度,按日计息,ABCD
77,按照财政部、中国人民银行有关文件规定，中央预算单位公务卡具有如下基本属性（     ）,金融属性,消费透支属性,提取现金属性,财政属性,AD
78,融资融券业务中，证券持有人对证券发行人的权利，是指请求召开证券持有人会议的权利，（）。,参加证券持有人会议、提案、表决的权利,配售股份的认购权利,请求分配投资收益的权利,请求分配现金股利的权利,ABC
79,高起点打造开放银行服务平台的做法是：,完善开放银行基础功能,全面夯实开放银行基础设施,持续丰富完善开放银行产品输出体系,建立丰富的开放银行接口体系,BD
80,2019-2020年数字化转型的六大重点任务包括,做强产品,做优场景,做活数据,做专风控,ABCD
81,声纹识别技术以其哪些特点，结合抗时变、防重放、鉴拼接等技术，实现无感知、零接触识别，从而大幅提高金融风控质量，减少欺诈风险。,不易丢失,难以伪造,保密性强,易于模仿,ABC
82,下列哪些客户，可以购买机构类大额存单产品,学校,医院,社保基金,住房公积金,ABCD
83,下列选项中属于行政法规的是（）,《证券公司监督管理条例》,《证券公司风险处置条例》,《证券市场禁入规定》,《中华人民共和国公司登记管理条例》,ABD
84,农户小额贷款（线下）可用于农户生产经营和消费需求，主要包括____。,农户农、林、牧、渔业生产经营,农户其他生产经营,职业技术培训、子女教育、医疗、购买耐用消费品、修缮房屋等生活消费,住房按揭,ABC
85,证券公司、证券投资咨询机构应当采取有效措施，保证制作发布证券研究报告不受（     ）等利益相关者的干涉和影响。,个人投资者,证券发行人,上市公司,基金管理公司,BCD
86,可以对有关责任人员从轻、减轻或者免予采取证券市场禁入措施的情形有（      ）。,配合查处违法行为有立功表现的,主动消除或者减轻违法行为危害后果的,受他人指使，拒不交代违法行为的,其他可以从轻、减轻或者免予采取证券市场禁入措施的,ABD
87,下列关于货币需求的说法中，正确的是【】。,货币需求是一种经济需求,货币需求是一种复合需求,货币需求是一种有效需求,货币需求是一种派生需求,ACD
88,金穗尊然白金贷记卡典藏版的增值服务，主要包括____。,机场贵宾,健康管家,保险保障,道路救援,ABCD
89,分红型保险产品具有哪些主要的保险责任,万能险,两全保险,健康保险,终身寿险,BCD
90,我国企业的主要形式包括【】。,个人独资企业,私人企业,合伙制企业,公司制企业,ACD
91,惠农e贷支持下列哪些还款方式____。,等额本息、等本递减分期还款方式（最长可按年分期还款）,按月（季、半年、年）结息、到期还本,单笔贷款期限1年（含）以内的，还可采取一次性利随本清还款方式,单笔贷款期限1年以上的，还可采取一次性利随本清还款方式,ABC
92,证券公司应当审慎选择代销的金融产品，充分了解金融产品的（　　）。,发行依据,基本性质,投资安排,风险收益特征,ABCD
93,加快线上支付特别是移动支付模式的创新和推广，建立和完善面向“______”双需求、“______”双渠道、“支付+结算”双供给的线上支付新格局。,用户+账户,个人+企业,城市+乡村,线上+线下,BD
94,以下哪些机构属于产品创新组织体系内。,科技与产品创新委员会,产品创新统筹管理部门,业务部门,产品创新专业委员会,ABD
95,合伙人有下列情形之一的，当然退伙,作为合伙人的自然人死亡或被依法宣告死亡,作为合伙人的法人或其他组织依法被吊销营业执照、责令关闭、撤销，或被宣告破产,法律或合伙协议约定合伙人必须具有相关资格而丧失该资格,合伙人在合伙企业中的全部财产份额被人民法院强制执行,ABCD
96,我国现行的财政转移支付由【】组成。,一般性转移支付,均衡拨款,专项转移支付,专项拨款,AC
97,根据国际货币基金组织2001年《政府财政统计手册》的分类标准，政府的主要收入来源渠道包括【】。,税收收入,社会缴款,非税收入,赠与收入,ABD
98,总行网络金融部受理的数据下发范围主要包括____？,个性化营销类数据,客户个人信息数据,源表类数据,公检法及监管查询类数据,ACD
99,根据政府预算编制依据的内容和方法，可将政府预算分为【】。,增量预算,单式预算,年度预算,零基预算,AD
